Course,Job_Titles
Mcts Winforms,"Software Developer,  UX Designer,  Programmer, Delphi Programmer"
Mcts: Developing Asp.Net Mvc 4 Web Applications,"C# Software Developer,  Programmer, File Clerk"
Mechanical Engineering,Data Communication Developer
Mechanical Engineering,"Developer, Storeroom Manager"
Mechanical Engineering,"Machine Process Analyst,  Mechanical Technician Trainee P2,  Mechanical Technician Trainee P1"
Mechanical Engineering,"SAP ABAP CRM TECHNICAL CONSULTANT, SAP ABAP CRM Developer,  SAP ABAP Developer"
Mechanical Engineering Degree,"CTO,  Software Development Manager,  Product Owner,  Technical Product Manager, Business Owner,  Business Analyst,  Software Developer,  Software Developer,  Software Developer,  Mathematician,  Mechanical Engineer"
Media Practice,"Brand,  Marketing,  Event & Promotion Manager"
Medical sales representative learnership,"Sales Representative,  repair  technician, Training Material Developer,  Mechanic assistant"
Meng,"Sysadmin/Developer, Software Developer,  Research Assistant,  Tech Support,  C C++ Programmer"
Meng (Electronic and Electirical Engineering),"C++ developer,  python,  linux,  data scientist, Network Engineer"
Meng (Telecoms),"Telecoms ...,  RF ...,  Engineering,  RF ...,  Engineering, Various ICT Consulting or Contractual,  Various Telecoms Consulting or,  Technical Director,  Application Development Specialist,  Manager,  Systems Engineer,  Systems Engineer,  Engineering DSP R&D Project & Thesis"
Microsoft Accreditation,"Software Developer, Salvage Consultant,  Call Centre Agent,  Monitor and Couch"
Microsoft c# specialist,"database or network administrator,  Software Developer"
Microsoft Cerified Developer,"C# Developer,  Web Application Developer,  Software Designer,  React.JS"
Microsoft Certified Application Developer For .Net,"SNR Software Developer, .NET Software Developer,  .NET Software Developer,  Junior Software Developer,  Senior Programmer"
Microsoft Certified Associate for BI,"Business Intelligence Analyst,  Business Intelligence Consultant,  Business Intelligence Developer,  SQL Developer, SQL Developer"
Microsoft Certified Professional,"Senior C# Developer,  Senior C# Web Developer,  Team Lead,  C# Developer,  Senior Software Developer, Senior Software Engineer"
Microsoft Certified Professional (Mcp) \u2013 Implement,"Transmed,  Developer,  Web Developer,  Developer,  Developer,  Junior Programmer,  Payroll Administrator"
Microsoft Certified Professional Developer (Mcpd),"Project Manager,  Senior Developer,  Senior Analyst,  Lead Developer,  Technical Manager,  Senior Developer,  Senior Analyst, Computer Project Technician"
Microsoft Certified Programmer(Mcp),"Software Developer,  Software Developer Data Engineer,  Software Developer,  Application Developer"
Microsoft Certified Solution Developer,Software Developer
Microsoft Certified Solutions Associate,"Systems Analyst,  BI Developer,  Big data,  Hadoop,  Data Scientist,  Senior ETL Developer,  Business Intelligence Specialist,  Business Intelligence Manager,  Business Intelligence Developer, Trainee IT Technician"
Microsoft Certified Solutions Associate,"Systems Analyst,  MCSE,  System Admin,  System Support,  System Engineer"
Microsoft Certified Solutions Developer - Web Applications,"Web Developer,  Developer,  Developer, Ops Specialist"
Microsoft Certified Solutions Developer (Mcsd),"Senior Developer,  Systems Developer,  Programmer,  Systems Developer,  Programmer, Head Developer,  Senior .NET Developer,  Senior PHP MySQL Developer,  Senior ASP SQL Server Developer,  Senior PHP MySQL Developer,  Web Developer,  Web Developer,  Web Developer"
Microsoft Certified Specialist,"Facilitator,  Web Developer,  Developer,  C# Developer,  Java Developer, Facilitator Trainer"
Microsoft Certified Systems Engineering,"systems engineer, Junior Developer,  Trainee Systems Developer,  Volutary Mentor"
Microsoft Certified Technology Speacialist,"Electronic Engineer,  Electrical Engineer"
Microsoft Certified Technology Specialist(MCTS),"Developer C#.NET, Network Administrator,  Graduate-Developer"
Microsoft Crm,"Team Lead,  Senior Developer,  Senior Developer, Consultant for Branch,  Senior ERP Consultant,  Junior Great ERP Consultant,  Assistant Manager"
Microsoft Crm 2011,"Programmer,  Developer,  Developer, Developer,  Developer,  Programmer,  IT Manager"
Microsoft Dynamics CRM 2011 Customization and Configuration,Dynamics CRM Developer
Microsoft Exam 486,"Team lead,  Architect,  Senior software Devloper,  Analyst Developer,  Senior software Devloper,  lead developer, K2.Net Consultant,  Senior Software Developer BI Architect,  Software Developer,  Software Developer,  .NET Developer,  Web Developer,  Programmer"
Microsoft Office Specialist \u2013 Word 2003,"Problem Officer Reporting Officer,  Junior Remedy Ars Developer Crystal Reports Desi,  Receptionist Switchboard Operator,  Head Waitress Bar Maid,  Receptionist Switchboard Operator Junior Secreta,  Office Administrator"
Microsoft Professional Certificate,"Systems Analyst,  C# Developer,  Data Analyst, Data Analyst,  Consultant,  Analyst Programmer"
Microsoft Professional Developers Conference,"Senior Developer Consultant,  Independent Consultant,  Business Owner GPS Mapping,  GIS Consultant,  GIS Technician"
Microsoft Professional Systems Developer,"IT,  DATA CAPTURE,  MANAGER,  REP,  SALES"
Microsoft Project,"HavenT a Clue What My Job Title Was"",  Project Manager,  Programmer,  Junior Programmer"
Microsoft Solutions Framework (Msf) - Pad,"Developer,  Technology Consultant Developer,  Senior Developer,  Junior Developer,  Internet Developer,  Junior Ads Support Technician,  Takeaway Floor Manager,  Shop Assistant"
Microsoft Sql Reporting Services,"SAP BW,  System Support,  SAP MAP,  System Support, Software Support"
Microsoft Sql Server 2008 Business Intelligence Development And Maintenance,"ETL Developer,  Business Intelligence Consultant,  Data Analyst,  BI Developer,  Data Warehouse Developer,  Data Analyst,  Credit Analyst,  BI Developer,  IT Engineer"
Microsoft technical course,".Net,  html5,  CSS3 web and Computer programmer,  c#,  Asp.net,  seo,  CSS,  Joomla,  SEO,  E-commerce, Cashier"
Microsoft web developer,"Vb.Net Developer,  C#.net,  telerik controls,  SQL, Software Developer,  Programmer,  Software Support"
Middel Management Programme,"Training and Development, National Trainer"
Mine Overseer Certificate,"Mine Overseer,  Shiftboss"
Mit - Masters Information Technology,Programmer System Analyst
MIT (Mastering Information Technology,"SQL and Qlikview BI developer, Hardware Installer,  Security Guard,  Drummer in Rock Band,  Data Capturer,  Website Programmer,  Wine Promotions"
Mpc Certification 5.0,"Developer,  Network Administrator"
MS,SAP BODS Consultant
MS Projects 2002,"Learning and Development Specialist,  E-Learning Specialist,  SAP MM Training Content Developer and end-User Training Specialist,  LMS Design and Implementation Specialist,  E-Book Developer, HRD Coordinator and LMS Project Lead,  Sales Representative and Merchandising Supervisor,  Sales Representative"
MS Software Engineering,"Business Intelligence Manager,  Business Intelligence Developer,  Business Intelligence Consultant,  Senior Business Analyst,  Senior Business Intelligence Consultant,  IT Technical Manager,  Software Manager"
Ms.C -Software Engineering,"Software Engineer,  Engineering developer,  Engineering developer"
MSc,"datastage,  etl,  Datawarehouse Developer,  Oracle Developer,  Unix Operator,  autosys"
MSc,"Python Developer,  Senior Python Developer, Systems Analyst,  Developer,  Senior Analyst Programmer,  Developer,  Student Developer"
MSc,"Python Developer,  Senior Python Developer, Systems Analyst,  Developer,  Senior Analyst Programmer,  Developer,  Student Developer"
MSc Aeronautical Engineering,"Senior Systems Engineer, Certification Engineer,  Software Developer"
MSc Astrophysics,"Software developer, Analyst Developer,  Software Developer,  Data Engineer"
MSc Computer Science,Web Developer
MSC IN IT,IT Department
MSc Plant Pathology,"Agronomist,  Plant pathologist,  Laboratory Manager,  Lab Assistant,  Field Officer,  Field Research,  Agricultural Scientist,  Agriculturalist,  Agriculture,  Agricultural Manager, Teacher,  Chemistry (CMY 117 & CMY 127) tutor"
MSc Project Management,"Information Officer,  Systems Manager,  GIS,  Developer,  Database Developer,  Systems Manager,  GIS"
MSc. Information Systems Management,"CIO,  Head of IT,  Chief Architect,  Architect,  IT Specialist, Group Strategist Business Architect,  Enterprise Architect,  Independent Consultant,  Oracle Consultant,  Reports Developer,  Consultant"
MTA,"software developer,  Data Science Developer"
Multimedia Design,Graphic Designer
Multimedia Design,"Sales Manager,  Area Manager,  Key Account Manager,  Regional Sales Manager,  Sales representative, Account Developer Still Beverages,  Brand Abassador Supervisor"
Multimedia Design,"SAP ABAP Developer,  SAP ABAP Consultant"
Multimedia Technology,"Learning Specialist,  Learning Material Developer,  Learning and Development Specialist,  Learning and Development Consultant"
Multimedia Three Year Intergrated Fine Art Animation And Graphic Design,"Web developer/designer,  Graphic designer,  Digital designer,  Photographer,  Programmer"
Municipal Finance Management Program,"IT Manager,  Software Development Manager,  Enterprise Architect,  Software Development Manager,  Enterprise Architect, Java Developer,  Senior Programmer,  Junior Programmer,  Tutor"
N.Dip Engineering (Computer Systems),"Trainee Engineer,  Analyst Developer,  Developer"
n4,"Senior Mobile Developer,  Mobile Architect, Senior Mobile Architect,  Senior Mobile Developer,  Analyst Programmer,  Analyst Programmer"
N6,"Promoter,  Retail Sales Person"
Nationa Diploma,Software Tester
Nationa Diploma in IT,"IT Technician,  IT Helpdesk,  Network Engineer"
Nationa Diploma Information Technology,software developer
National  Diploma in Mnagement Services,Manager
National Certificate,"Junior Programmer,  IT Developer"
National Certificate : Datametrics,System Builder
National Certificate Business Analysis,"Software tester,  database Administrator,  Project Management,  Business Analyst,  System Analyst,  IT Audit,  Mis Analyst,  Power BI Developer, IT intern,  Business Analysis Intern"
National Certificate in Business Analysis,"business/ data  analyst,  systems analyst/ developer,  systems analyst/ developer, Mis Analyst Business Analysis,  Junior Intergration Developer"
National Certificate In Information Technology,"Part Time Sales Consultant,  Tracer"
National Certificate: banking Service advice NQF Level 5,"customer services, JNR Software Developer"
National Certificate: Information Technology Systems Development NQF Level 5,"Linux System Administrator,  Software engineer,  Developer"
National Certificate: System Development,Junior Software Developer
National Certificate: Systems Support Engineering,"IT Support Technician,  IT Helpdesk Technician,  IT Support Engineer,  Network Administrator,  IT Technician,  LAN Administrator,  PC Technician, Microsoft Dynamics AX Developer IT Technician,  IT Support Engineer,  End User Support Technician Lan Administrator"
National Deploma,junior c# developer
National Deploma Information Technology,"Systems Developer,  System Analyst,  Analyst Developer, Software Developer/(Business intelligence) Permanent,  Solution Engineer,  Web Developer (Intern)"
National Diploma,"Android Developer,  Software Developer,  Junior Java Developer,  Java Web Developer"
National Diploma,"Consultant,  Consultant,  Consultant,  SNR Programmer"
National Diploma,"Coordinator,  Assistant Coordinator,  Personal Assistant,  Assistant Coordinator,  Personal Assistant, Risk & Compliance Consultant,  Systems Developer"
National Diploma,Developer
National Diploma,"IT Manager,  Project Manager,  Manager,  Business Analyst, Developer,  Developer,  Sales Person"
National Diploma,"IT Testing,  Project Manager IT"
National Diploma,Junior Developer
National Diploma,"Php Developer,  Java Developer"
National Diploma,"Receptionist,  Customer Service Consultant,  Telemarketer,  Sales Assistant,  Sales Assistant"
National Diploma,"SAP ABAP HR Developer, System Developer"
National Diploma,Software Developer
National Diploma,"Software developer,  Sql developer,  Database administrator,  system Analyst"
National Diploma,"Software Developer,  Technical Developer,  Software Engineer,  Technical Developer,  Software Engineer"
National Diploma,Website Developer
National Diploma - Cdp,Programmer
National Diploma (Information & Communication Technology),Junior Web Developer
National Diploma : Information Technology,"C# Developer,  Analyst,  Integration Developer, Siebel Integration Specialist"
National Diploma : Information Technology,"Project Manager,  Manager,  Team Leader,  Manager,  Team Leader, Systems Analyst,  Systems Analyst,  Senior Application Developer,  Data Acquisition Developer,  Specialist Systems Analysis,  Senior Programmer,  Senior Programmer"
National Diploma : Information Technology,"Test Analyst,  Performance Test Analyst, Technical Test Analyst,  Senior Performannce Tester,  Performance Analyst,  Ops Specialist ITS QA Testing Performance,  Software Developer,  Application Support Specialist,  Senior Programmer"
National Diploma Business IT,"IT,  SQL,  SQL DBA,  SQL and C#,  SQL Developer,  SQL Server Developer,  SQL Database Administrator,  mysql DBA,  C# SQL Developer,  C#"
National Diploma Computer Data Processing,"Consultant,  Software Solutions Architect,  Third Party Development Manager,  Project Leader,  Project Manager,  Development Manager,  Development Director & Partner,  Software Analyst Programmer"
National Diploma Computer Science & Systems Engineering,Senior Developer
National Diploma Cost & Management Accounting,Accounts Admin Clerk
National Diploma Engineering Computer Systems,"internships,  junior,  permanent"
National Diploma Engineering Mechanical,Design Draughtsman
National Diploma In Datametrics,"Analyst Programmer,  Software Developer,  Software Programmer,  Software Developer,  Software Programmer"
National Diploma in Datametrics,"Analyst,  Analyst Developer,  Report Developer,  Reporting Analyst,  BI Specialist,  Business Analyst,  Support Analyst"
National Diploma In Electrical Engineering,Wide Area Network Planner
National Diploma in electronic engineering Computer systems,"Developer,  Junior java developer,  java developer,  Java Software Developer,  JNR Software Developer,  Software Developer"
National Diploma in Information Technology,Automation Engineer
National Diploma in Information Technology,"Information Technology,  IT technician,  Business Analyst,  Business Administrator,  Software Developer"
National Diploma in Information Technology,"Information Technology,  SQL/Database Developer"
National Diploma in Information Technology,Leader
National Diploma in Information Technology,"Pragrammer,  System Analyst"
National Diploma In Information Technology,Programmer
National Diploma In Information Technology,"Senior ABAP Consultant, ABAP Programmer Consultant,  ABAP Programmer Consultant,  SAP Consultant,  SAP Developer,  SAP Trainee"
National Diploma In Information Technology,"Snr Php developer,  php developer,  php developer, Paradigm Solutions,  Junior PHP Developer,  Junior C#.Dot NET Developer,  General Assistant,  Computer Servicing"
National Diploma In Information Technology,Software Developer
National Diploma In Information Technology,"Systems Engineer, Application Support Engineer Site Investec Bank,  Temporary"
National Diploma In Information Technology,"Web Developer,  Front-Line Service Consultant,  Junior Web Developer Trainee,  Service Consultant,  Retail Associate"
National Diploma in Information Technology(IT),"BI Specialist,  Data Analyst"
National Diploma In Mining Engeneering,"Shaft and Construction Timberman,  Miner developer,  General Miner,  Boxcontroler,  Shift Supervisor,  Night Shift Cleaner"
National Diploma in Policing,administrative
National Diploma in Software development,Systems developer
National Diploma Industrial Engineering,"Sales Assistant,  Programmer Support Member,  Programmer"
National Diploma Information,Promoter
National Diploma Information and technology,"Software Developer,  System Developer,  Progremmar,  IT Technician,  Junior Business Analyst, Web designer Software developer"
National Diploma Information Technolgy,"ORACLE DEVELOPER,  SQL DEVELOPER,  DEVELOPER,  SQL DEVELOPER,  DEVELOPER"
National Diploma Information Technology,"Admin Clerk,  billing Clerk,  Desktop Support,  Receptionist"
National Diploma Information Technology,"Development software,  Business Analyst Intern,  Networking Consultant"
National Diploma Information Technology,Intern Programmer
National Diploma Information Technology,"Senior Java Developer,  Senior Cobol Developer,  Senior Cobol Developer"
National Diploma Information Technology,"Snr Software Developer,  junior programmer, SEO Inter,  System Supporter"
National Diploma Information Technology,"Systems Developer,  Junior Systems Developer,  Trainee Systems Developer,  Call Centre Agent,  Call Centre Agent,  Call Centre Agent,  Call Centre Agent,  Trainee Dental Assistant"
National Diploma Information Technology,Trainee Software Developer Systems Support
National Diploma It,Information Technology
National Diploma IT Communication Networks,"junior software developer,  junior mobile applications developer,  junior ios developer"
National Diploma- It In Business Applications,"Websphere MQ series,  Websphere,  Incident Coordinator,  Websphere,  Incident Coordinator, Admin Clerk,  Service Center Operator,  Service Center Operator"
National Diploma of INFORMATION TECHMOLOGY,IT Graduate Trainee
National Diploma Software Development,"Developer,  Support"
National Diploma -Software development,"Front-End Developer,  C# Web Developer, GRV Clerk,  Computer Lecturer,  Student Assistant"
National Diploma Tourism Management,"Product Developer,  Tour Consultant,  Debtors Clerk,  Adventure World Reservations Consultant,  Casual Employer,  Accounts Assistant"
National Diploma(IT),"Java Software Developer,  Android mobile devices developer,  Junior C# Developer"
National Diploma: Computer Sciences,"Junior Java Developer,  Junior Mobile Developer"
National Diploma: Computer Systems Engineering,"Front End Web Developer,  Junior PHP Developer"
National Diploma: Information Technology,"Interfaces Project Manager for Armis,  Senior Developer,  Developer,  Millennium Consultant,  Temporary as 400 Operator,  User Support as 400 Operator,  Temp Data Capturer,  Junior Programmer"
National Diploma: Information Technology,Java  Developer
National Diploma: Information Technology,"Software Developer,  Temporary Cashier"
National Diploma: Information Technology,"Tutor,  Computer Lab Technician,  Tutor"
National Diploma: It: Technical Applications,"Senior Developer,  Senior Consultant,  Senior Consultant, Technical Specialist,  Student Trainer"
National Diploma: Technical Applications,"Android Developer,  J2EE Developer,  J2SE Developer"
National Diploma:engineering Computer Systems,"Java Developer,  Software Engineer,  Web Developer"
National Diploma:Information Technology,"Business Analyst, Analyst Programmer,  System Developer"
National Diploman In It,"System Developer,  Junior Developer"
National Senior Certificate,"Administrator, Customer Services Agent"
National Senior Certificate,"Junior web design,  admin clerk,  clerk, Consultant Technology contributor,  FIFA World Cup Merchandise Sales Rep"
NCCS,"Solutions Architect,  Software Development Manager, Software Development Architect,  Software Development Manager,  SAP - Regional Operations Manager,  National Business Development Manager,  National Business Development Manager"
ND Accounting,"Internal Auditor,  Bookkeeper,  Payroll Admin, Corporate Finance Consultant,  Trainee Accountant"
Nd Graphics Design And Web Development,"Business Objects Developer, Junior Technician,  Junior Systems Developer"
Nd Information Technology,"ASP.Net Developer,  VB.Net Developer,  VB.Net Developer"
ND Information Technology,"C# Developer,  SQL Database Administrator,  SQL Developer"
Nd Information Technology,"MIS Analyst,  Data Analyst,  BI Analyst,  systems analyst,  database administrator, Junior Developer"
ND Information Technology,"software developer,  Data Analyst,  Systems Analyst,  Business Analyst,  Business Intelligence Analyst"
Nd It,"Business Analyst,  Programmer,  Tester,  Programmer,  Tester, Assistant Manager"
Nd It Software Development,"Salesman,  Clerk"
Nd. Cdp,"Development Manager,  Professional Services Manager,  CIO,  COO,  Professional Services Manager,  CIO, Telecomms Delivery Manager,  Telecomms Integration & Implementation Manager a,  IT Manager,  Project Programm Manager,  Analyst Developer Developer"
ND: Consumer Sciences: Food and Nutrition,"Food Technologist,  Quality Control"
Nd: Information Technology,"Business Intelligence,  Database Administrator,  Database Administrator, Desktop Technician,  Student IT Technician"
Nd: It (Communication Network),"QlikView Developer,  QlikSense Developer,  Microsoft PowerApps,  Microsoft PowerBI Developer"
Nd:Financial Information Systems,"finance clerk,  debtors/creditors clerk,  debtors/creditors clerk, Financial Systems Intern Trainee"
Ndip Electronic Engineering,Project Manager and Foreman
Ndip It,"Software Developer, Software Developer,  Software Developer"
NDIP IT: Technical Applications,"Developer,  Software Engineer,  Software Developer,  Intermediate Java Developer, IT Support Administrator,  Radio DJ & Technical Producer,  Temporary Store Manager"
Ndip: Engineering Computer System,"IT,  computing"
NDIP: IT (Web Application and Development),Integration Developer
New Managers Programme,"Business Analyst,  Business Process Analyst,  Project Manager,  Business Process Analyst,  Project Manager, Business Analyst on Eppix Billing System,  Business Analysis,  Programmer Developer"
None,"Executive Director,  CSI Director,  Managing Director,  Diversity Director,  Chief of Party, Independent Contractor,  Researcher Project Manager,  IT Business Analyst,  Software Developer"
NQF Level 5 System Support,"PHP Developer,  SQL Database Administrator,  Business Analyst"
NQF Level 6 Software Developmet,"Solution Architect,  Business Architect,  System Analyst, Analyst Programmer"
Nqf5 System Development,"End-User Trainer,  Technician & Web Developer & Helpdesk Admin,  Health Worker,  Merchant"
NQF6,"Team Leader,  Supervisor,  Sales Manager,  Executive Assistant, Sales Consultant"
Object Oriented Analysis And Design ,"Network Administrator,  Tutor for Matriculants From Disadvantaged Areas"
Object Oriented Analysis And Java Programming,"Corporate Insurance Broker,  Aviation Insurance Broker"
OCPJP 6(Oracle Certified Professional,Java Developer
Oracle 10g Database Administrator,"Database Developer,  Oracle Apex Developer,  Database Analyst,  Oracle Apex Developer,  Database Analyst, Technician,  Imaging Technician,  Technician,  Host"
Oracle 10g Sql & Databases,"Oracle DBA,  Pre Sales,  Business Intelligence, Product Analyst & Splunk Developer,  Junior Oracle DBA"
Oracle 9i : Dba,Programmer Instructor
Oracle Application Developer,"Development Database Administrator,  Data Warehouse Developer,  Business Intelligence Developer,  Data Warehouse Developer,  Business Intelligence Developer, Development DBA,  Database Administrator,  Database Administrator,  Database Administrator,  Oracle Database Administrator,  Oracle Database Administrator,  Database Administrator,  Application Developer Database Administrator"
Oracle Business Intelligence (Modules),"Test Analyst,  Business Analyst, Software Tester & Web Developer,  JNR Business Analyst & Developer,  Special Promotions Representative,  Office Administrator,  Office Administrator"
Oracle Certified Associate (Java SE 7 Programmer),"Java Web Developer,  Java Developer,  sales, Web Developer"
Oracle Certified Associate Java SE7 Programmer,"Java,  PHP Developer,  Web Developer,  C# .NET Developer,  Database Administrator, Software Developer"
Oracle Certified Developer,Senior Java Developer
Oracle Certified Forms Professional (OCP),"Senior Consultant,  Electronic Banking Support Executive,  Customer Service Engineer,  Trainee Developer"
Oracle Certified Java Professional,"SAP ABAP,  Java Developer,  SAP Mobility,  HTML5 Mobile Developer,  Database Administrator,  A+,  N+,  Linux,  Security Administator, Sytems Support Technitian,  Byte People Solutions"
Oracle Certified professional,"Java Developer,  System Developer,  Software Developer"
Oracle Certified Professional,"Oracle Database Administrator,  Oracle Apps DBA,  Oracle DBA,  Oracle Fusion DBA,  Oracle Fusion Middleware Administrator"
Oracle Certified Professional  (Ocp ),"ETL Developer,  Oracle Developer,  informatica developer,  Oracle Developer, ETL SSIS Consultant,  Informatica ETL Developer,  Informatica ETL Developer"
Oracle Certified Professional (Ocp 9i),"Sr. Oracle DBA / Team Lead,  Oracle DBA Manager,  Oracle DBA Manager, Oracle DBA,  Junior Operations Manager,  District Service Manager"
Oracle Certified Professional Programmer,"Java Developer,  Java Developer, Java Project Programmer,  Java Developer and Web Programmer,  Web Developer,  Lotus Domino Web and Application Developer,  Operations Manager Call Centre,  2ND Level Technical Support,  Call Centre Operator"
Oracle Database 11g Administrator Certified Professional,"Oracle DBA,  Database Administrator,  SQL developer, SNR Network Operator,  Library Network Assistant"
Oracle Database 11g Data Warehousing Certified Implementation Specialist,"PLSQL / ETL oracle developer,  System Analyst,  Senior Oracle Consultant,  Senior Oracle Developer,  System Analyst, PL SQL Developer IT Consultant,  ETL Oracle Developer"
Oracle Database SQL Certified Expert,Information technology
Oracle Developer,"Software Engineer-Development and Support,  Website Developer"
Oracle Developer Certified Professional,"Oracle EBS Technical Consultant,  Oracle E-Business Suite Developer,  Oracle E-Business Suite Developer"
Oracle E-Business Suite R12 Financials Certified E,"Oracle Consultant, Oracle Consultant,  Oracle Consultant,  Oracle App Tech Consultant,  Oracle Developer,  Oracle Developer,  Programmer"
Oracle Education,"Manager, Network Administrator,  System Analyst,  User Support Technician,  Student Technician"
Oracle Ocp Certification,"Developer Consultant,  Developer Support Manager"
Oracle SOA Suite 12c Certified Implementation Specialist,"Developer,  Analyst,  Support"
P.G.D.C.A,"SAP BW, Production Engineer"
Payment Basic Systems,"Junior Lecture,  Junior Programmer"
PC Engineering,"Senior Developer,  Senior SQL Developer, Senior Software Developer,  Senior Developer,  Senior Developer,  Senior Developer,  Senior Developer,  Software Developer,  Software Developer,  Software Developer"
Pg Diploma Management in Corporate Governance,"IT / Service Manager / Project Manager,  Systems and Business Analyst,  Application Manager,  Solutions Analyst,  Solution Architect,  Application Specialist,  Supply CHain Management,  Programme Management,  Health Information Systems,  Service Management, Network Controller,  Helpdesk Operator,  Web Developer,  System Developer Project Leader"
Ph.D in Electronic Engineering,"Software Engineer,  Software Developer,  Software Project Manager, Software Consultant,  Software Project Manager,  Software Developer,  Development Engineer"
PhD (Computer Science and Information Systems),"UI Designer,  UX Designer,  Web Designer,  Web Developer,  Web Applications Developer,  C# Web Developer,  Developer,  Software Engineer,  Software Developer"
PhD Bioinformatics,"Software Engineer,  Software Developer,  Software Development Engineer"
Phd Computer Science,"Assistant Lecturer,  Developer Programmer,  Teaching Assistant,  Consular Office Secretary"
Phd Computer Science,"Owner,  Programmer,  Programmer,  Student"
Photography Diploma,"Developer,  Systems Administrator,  Photographer,  Web Developer, System Administrator,  IT Technician"
Php Advance Development Course,"Senior Web Developer,  Senior UI Developer,  Web Developer,  Front-End Developer,  Senior UI Developer,  Web Developer, Creative Lead,  Designer"
PHP Engineer,"Software Developer,  Programmer, ASP Developer"
PHP Web Developement Certificate,"Web Developer. Java Developer,  Front End Developer"
Pl/Sql Program Units Curriculum(Cbt),"Lotus Notes Developer,  System Analyst,  System Analyst,  Trainee Programmer System Analyst,  Teacher"
PMD,"Partner Manager,  Sales Executive,  Production Manager,  CIO,  Solutions Architect,  Channel Manager,  Technical Executive, Lead Developer,  Senior Internet Analyst Programmer,  Senior Programmer"
Pmi Certification - Pmp,"IT Security Manager, Senior Domino Developer,  Domino Developer"
Pmi-Rmp - Certified Risk Management Professional,"Project Manager,  Programme Manager,  Architect,  IT Manager,  Architect,  Manager, Business Analyst Project Manager Support Manager,  Consultant Project Mananger,  Managing Director,  Senior Consultant Project Manager,  Business Consultant Project Manager,  System Analyst Project Manager,  Senior Developer System Analyst Team Leader"
PMP,"Project Manager,  Business Analyst"
Pnc Professional Diploma,IT Assistant
Post Grad in Financial planning,Regional Trainer
Post Graduate Certificate in Education,"Food Management,  Product Management,  Marketing,  Commercial Manager"
Post Graduate Diploma Business Administration,"Assistant Programmer Web Developer,  IT Helpdesk Administrator,  Service Engineer,  Service Engineer,  Volunteer"
POST GRADUATE DIPLOMA IN BUSINESS ADMIN,"PMO/Project Manager,  Operations Manager/Support,  Project Portfolio Manager, IT Delivery Head,  IT & PMO Manager,  Project Manager/Business Analyst,  Java Analyst Developer"
Post Graduate Diploma In Management,"ABAP Developer, ABAP Developer,  ABAP Developer,  ABAP Developer,  ABAP Developer,  ABAP Developer,  ABAP Developer"
Post graduate Diploma in Project Management,"System Analyst,  Business Analyst,  Operations Manager,  Project Manager, Oracle/SQL Developer,  Analyst,  Intern,  Intern"
Post Graduate Diploma In Tax Strategie,"Consultant,  Advisor,  Facilitator etc,  Advisor, Caterer"
Post Graduate Diploma Risk Management,"Risk analyst, Intern"
Post Metric Economic Management Analysis,"Application Compiler Site Developer,  Transport Supervisor"
Post-grad Diploma in Datametrics,"Business Analyst,  Systems Analyst,  Analyst/Programmer,  Senior Developer, Analyst Programmer,  Senior Mathematics Teacher,  Mathematics Teacher,  Systems Analyst,  Systems Analyst,  Systems Analyst Programmer,  Analyst Programmer,  Analyst Programmer"
Postgrad Diploma in Management,"Senior Systems Analyst,  Software Architect, .NET C# Developer,  C#.NET Developer,  Junior C# Developer,  C# Developer"
Postgraduate Diploma In Business Administration,"Product Owner, Product Manager,  Business Analyst,  Developer Team Lead,  Developer Consultant,  Software Developer,  Internet Researcher,  Technical Support Consultant,  Assistant to Quantity Surveyor"
Postgraduate Diploma in Financial Planning,Financial Planner
Postgraduate Diploma In Management,Internet Developer
Postgraduate Diploma in Management (PDM),"Business Analyst,  Quantitative Analyst,  Solution Architect,  Quantitative Analyst,  IT Consultant, Junior Software Developer,  Junior Software Developer,  Student Librarian"
Post-Graduate Diploma In Management Business Admin,"Public Relations Coordinator,  Web Content Editor,  Economics Editor,  Staff Writer"
Postgraduate Diploma in Programme Management,"Project Manager / Billing Manager,  Project Manager,  Project Director,  Programme Manager,  Portfolio Manager,  Project Manager,  Project Director, Strategic Advisor Business Intelligence,  Project Manager,  Business Analyst Project Manager,  Senior Business Consultant,  Vas & Business Intelligence Specialist,  Enterprise Resource Planning ERP Specialist,  Billing Operations Analyst,  Trainee Systems Developer Billing & Vas Division"
Postgraduate Diploma Information Systems (INF4015W),Web Developer
Post-Graduation in Production Engineering,"Language Consultant,  Brazilian Portuguese, Software Developer Junior,  Information Technology Specialist"
Practical Testing Software,"ETL Developer,  Tester,  Database Administrator,  data analyst,  Database Administrator"
Practical Usability Testing Course,"Tester,  Developer,  IT/Network Technician,  Developer,  IT/Network Technician"
Practice Project Management,"Property,  Marketing/Sales,  Customer Service Consultant,  Education,  CRM,  Consultant Sales,  Consultant Agent,  Consultant Manager,  Marketing/Sales, Sales and Marketing Manager,  Corporate sales  Consultant,  Portfolio Manager,  Sales Assistant,  Real Estate Agent,  Sales Parnter,  Senior Registration Officer,  Registration Officer"
Prestige Diploma Game Ranging And Lodge Management,"Project Manager,  Operations,  Operations, Sales Service and Account Management,  Web Developer and Content Manager,  PA to the CEO,  General Administration Assistant,  Assistant to CEO and Corporate Communications Mana"
