career,course,universities,job_titles,skills
Project Leaders (Japanese/English),,,,"Project, Management, Japanese, English"
".NET Backend (.Net Core,C#,SQL,Azure)",,,,".NET, C#, ASP.NET"
"Frontend Dev (JavaScript, ReactJS)",,,,"ReactJS, JavaScript"
"Java Backend Dev (AWS, up to )",,,,"Java, English, AWS"
Java Developments(1Month Signing ),,,,"Java, English, ReactJS"
Java/.Net Development ( ),,,,"Java, OOP, .NET"
Junior PHP Development (MySQL),,,,"PHP, JavaScript, JQuery"
NodeJS Backend (Junior/Senior/Lead),,,,"NodeJS, MySQL, JavaScript"
NodeJS Developments/ReactJS/ VueJS,,,,"NodeJS, ReactJS, VueJS"
"PHP Developments(Laravel,CakePHP)",,,,"PHP, HTML5, JavaScript"
"Senior PHP Development (MySQL, OOP)",,,,"PHP, MySQL, OOP"
Frontend Dev (ReactJS/Angular/VueJS),,,,"ReactJS, Angular"
"Web Dev Fullstack (JavaScript,ReactJS)",,,,"JavaScript, HTML5, ReactJS"
"Senior PHP Development (Laravel, MySQL)",,,,"PHP, MySQL, Laravel"
"Java Dev (Spring, MySQL, PostgreSQL)",,,,"Java, MySQL, Spring"
PHP Dev (Laravel/MySQL) ~37M,,,,"PHP, MySQL, Laravel"
Agile Master  Technical Management,,,,"Scrum, Agile"
Agile PM (Project Management/Scrum),,,,"Project, Management, Agile, Scrum"
AI Engineering,,,,"Python, Java, Scala"
AI Engineering  Text Processing,,,,"Python, AWS, Data, Data Analyst"
AI Engineering (Computer vision/IOT/Python),,,,"Database, Python, Blockchain"
"AI Engineering (Python, C++, C#)",,,,"C#, Python, C++"
"AI Engineering (Python, SQL, Linux)",,,,"Python, Linux, SQL"
All Level  DevOps Engineering ,,,,"DevOps, Linux"
All level QA/QC Engineering (Manual Tester),,,,"QA, QC, Tester"
"All Level QC Engineering (Manual, Tester)",,,,"QA, QC, Agile, Tester"
"All Levels Fullstack(.Net, Angular, SQL)",,,,".NET, SQL, Angular"
"All Levels Golang Backend (Python, Java)",,,,"Golang, Python, Java"
Analytics Product Owner,,,,"Product, Management, Database, Business, Data Analyst"
Android and iOS Mobile Developments,,,,"Android, iOS"
"Android Dev (Java, Kotlin) ",,,,"Android, Java, Kotlin"
"Android Dev (Kotlin, Java, Mobile Apps) ",,,,"Android, Java, Kotlin"
Android Dev (UI UX) ,,,,"Android, UIUX, Java"
Android Development,,,,"Android, Kotlin"
Android Development,,,,"Android, Java, Kotlin"
Android Development ,,,,"Android, Kotlin, Flutter"
Android Development ( Java/Kotlin ),,,,"Android, Java, Kotlin"
Android Development (Flutter/Java/Kotlin),,,,"Android, Java, Kotlin"
"Android Development (Java, Cloud)",,,,"Android, Java, Cloud"
"Android Development (Java, Kotlin)",,,,"Android, Java, Kotlin"
Android Development (Java/Kotlin),,,,"Android, Java, Kotlin"
Android Development (Kotlin),,,,"Android, Java, Kotlin"
"Android Development (Kotlin, MVVM, Git)",,,,"Android, JSON, Kotlin"
Android Development (React Native/Flutter),,,,"Android, React, Native, Flutter"
"Android Developments (1,21,8net)",,,,"Android, Java, Kotlin"
"Android Devs (Java, Kotlin)",,,,"Android, Java, Kotlin"
Android Engineering (Android /Kotlin),,,,"Android, Java, Kotlin"
"Android Engineering, Kotlin ",,,,"Android, Java, Kotlin"
Android Mobile Apps Development,,,,"Android, OOP, Java"
"Angular Dev (JavaScript, AngularJS)",,,,"Angular, AngularJS, JavaScript"
Angular Development (JavaScript),,,,"Angular, Database, JavaScript"
"Angular Development (JavaScript, HTML5)",,,,"JavaScript, HTML5, Angular"
Angular/ReactJS ,,,,"Angular, JavaScript, ReactJS"
"App Development ( iOS,)",,,,"Android, JavaScript, iOS"
App Security Engineering (Java),,,,"Java, Networking, Android"
"App Support Engineering (Javascript,HTML)",,,,"JavaScript, HTML5, CSS"
"Application Admin (ESB/API, Oracle, SQL)",,,,"Oracle, Database, SQL"
"Application Development ASP.NET,C#,NodeJS",,,,"C#, NodeJS, ASP.NET"
Application Security Engineering,,,,"Cloud, Java, AWS"
Arts,,,," Web Designing , Computer Skills"
"ASP.NET Development (C#, MVC)",,,,"ASP.NET, C#, MVC"
"ASP.NET Developments (.NET, C#)",,,,"ASP.NET, C#, .NET"
Automation Engineering,,,,"Tester, JavaScript, Java"
Automation QA QC/ Tester (Senior  Lead),,,,"QA, QC, English, Tester"
"Automation QA/QC (Selenium,API)",,,,"QA, QC, Java, Tester"
"Automation QA/QC/Tester (Java, Selenium)",,,,"QA, QC, Java, Tester"
"Automation QA/QC/Tester (Java, Selenium)",,,,"QA, QC, Java, Tester"
Automation QA/QCmillionSIGNUP ,,,,"Java, Tester, QA, QC"
"Automation QC (QA QC, Tester, SQL)",,,,"QA, QC, UIUX, Tester"
Automation Tester (C#/ QA QC/ Java),,,,"Tester, Java, QA, QC"
Automation Tester (English),,,,"Tester, English"
Automation Tester (QA QC),,,,"Tester, QA, QC"
"Automation Tester (QA QC, Python, .Net)",,,,"Tester, QA, QC"
Automation Tester (QA QC/ UIUX & API),,,,"Tester, UIUX, QA, QC"
Automation Tester(1Month Signing ),,,,"QA, QC, English, Tester"
Automation Tester/ QA QC (Selenium),,,,"Tester, Java, QA, QC"
Automation Testing,,,," TestNG. Testing Framework  TestNG,  Data Driven,  Page Object model. Applications & Tools  Eclipse,  Postman Building Tool Version Control Continuous Integration  Maven  SVN  Jenkins Database  SQL Languages  SQL,  Java,  C++ Scripting Languages  HTML,  JavaScript Operating System  Windows Domain  Insurance,  ERP,  E-Commerce  "
Automation Testing,,,,"Feature Driven MS Excel(FDD) Domain Industrial Automation,  Extreme Programming(XP),  Test-driven MS Excel (TDD) ,  Retail,  Banking,  Insurance,  Health care. Automation Framework Modular,  Data driven,  BPT,  Hybrid Test automation tool HP UFT,  TAF,  Load Runner,  Selenium,  Rational Robot,  DCMTK,  sikuli languages VB Script,  C++,  Python,  Shell Script Bug Tracking Tool Bugzilla,  Jira,  HP Quality Control,  AP Test,  Clear Quest Version management Clear case,  Win CVS,  SVN Database Oracle,  SQL server,  MySQL Network Protocols TCP/IP,  HTTP,  HTTPS,  VPN,  FTP,  LDAP Healthcare DICOM,  PACS"
"automation, manual tester QA/QC all leve",,,,".NET, HTML5, C#"
Automation/Manual Tester/QA QC (English),,,,"Tester, English, QA, QC"
Automotive E/E Architecture Engineering ,,,,"Embedded, Software, Architect"
"AVP, Technology Governance ",,,,"System, Engineering, HTML5, QA, QC"
AWS Cloud Architect  Signing ,,,,"AWS, Software, Architect, Cloud"
"AX Development (.NET, Software Architect)",,,,".NET, Software, Architect"
Azure Cloud Architect,,,,"Cloud, Software, Architect, English"
BA IT/ Business Data Analyst IT,,,,"Business, Data Analyst, English"
Back End Dev (Golang/Python/NodeJS),,,,"NodeJS, Python, Golang"
Back End Developments (Ruby/Python),,,,"Ruby, Python, PostgreSql"
"Backend (JavaScript, NodeJS, Python)",,,,"JavaScript, NodeJS, Golang"
"Backend (Spring, MySQL, Java)",,,,"Spring, MySQL, Java"
"Backend .NET Development (C#, SQL Server)",,,,"C#, SQL, .NET"
"Backend .NET Development (C#, SQL)",,,,"C#, SQL, .NET"
"Backend Dev (.NET/ Java/ NodeJS, SQL)",,,,".NET, NodeJS, Java"
"Backend Dev (Golang, Java, NodeJs,...)",,,,"Golang, NodeJS, Java"
"Backend Dev (Java, MySQL, Spring)",,,,"Java, Database, NodeJS"
"Backend Dev (Java, Spring, SQL) ",,,,"Java, SQL, Spring"
"BackEnd Dev (Java,Spring,SQL) ",,,,"Java, SQL, Spring"
"Backend Dev (NodeJS, JavaScript, HTML5)",,,,"NodeJS, HTML5, JavaScript"
"Backend Dev (NodeJS, MySQL)",,,,"NodeJS, MySQL, PHP"
"Backend Dev (NodeJS, Typescript) ",,,,"NodeJS, SQL, JavaScript"
"Backend dev (PHP, JavaScript, SQL)",,,,"PHP, SQL, JavaScript"
BACKEND DEV (PHP/NodeJS/Lavarel) ~1.4,,,,"PHP, NodeJS, Laravel"
Backend Dev (Python/Golang/Any ),,,,"Python, Ruby, Golang"
Backend Dev (Python/NodeJS/JavaScript),,,,"Python, JavaScript, NodeJS"
Backend Dev NodeJS/JavaScript/TypeScript,,,,"NodeJS, MySQL, JavaScript"
"BackEnd Development (.NET, C#, SQL)",,,,".NET, C#, SQL"
"Backend Development (.Net, MVC, ASP.NET)",,,,".NET, MVC, ASP.NET"
Backend Development (Golang),,,,"Golang, PostgreSql, English"
"BackEnd Development (Golang, Java, NodeJS)",,,,"Golang, NodeJS, Java"
Backend Development (Golang/Java/MySQL),,,,"Golang, MySQL, Java"
"Backend Development (Java, Golang, PHP)",,,,"Java, PHP, Golang"
"Backend Development (Java, Linux)",,,,"Java, MySQL, Linux"
"Backend Development (Java, PHP, NodeJS)",,,,"Java, NodeJS, PHP"
"Backend Development (Java, Spring)",,,,"Java, SQL, Spring"
Backend Development (Java/Golang/NodeJS),,,,"Java, NodeJS, Golang"
"Backend Development (Java/NodeJS, MySQL)",,,,"Java, MySQL, NodeJS"
"Backend Development (JavaScript, Golang)",,,,"JavaScript, Python, Django"
Backend Development (Nodejs + NestJs),,,,"NodeJS, DevOps, VueJS"
Backend Development (NodeJS),,,,"NodeJS, Agile, JSON"
"BackEnd Development (NodeJS, JS, mysql)",,,,"NodeJS, Database, DevOps"
"Backend Development (NodeJS, PostgreSQL)",,,,"NodeJS, Database, PostgreSql"
"Backend Development (NodeJS, SQL, NoSQL)",,,,"NodeJS, SQL, NoSQL"
Backend Development (NodeJS/ExpressJS),,,,"NodeJS, SQL, JavaScript"
"Backend Development (PHP, Java, AWS)",,,,"PHP, Java, AWS"
"Backend Development (PHP, Laravel)",,,,"PHP, Laravel, Angular"
"Backend Development (PHP, Laravel, MySQL)",,,,"PHP, MySQL, Laravel"
"Backend Development (PHP, Python, MySQL)",,,,"PHP, Python, MySQL"
Backend Development (PHP/Laravel),,,,"PHP, Laravel"
"Backend Development (Python, NodeJS, PHP )",,,,"Python, NodeJS, PHP"
"BackEnd Development (Ruby on Rails, AWS)",,,,"Ruby, on, Rails, JavaScript, AWS"
Backend Development (Ruby On Rails/MySQL),,,,"Ruby, on, Rails, MySQL, AWS"
Backend Development (Ruby/Python),,,,"Ruby, Python, Ruby, on, Rails"
"Backend Development [Rails, PHP]",,,,"Ruby, on, Rails, PHP"
Backend Development(PHP/MySQL/CodeIgniter),,,,"PHP, MySQL, ReactJS"
"Backend Development(Python, Django, Linux)",,,,"Python, Linux, Django"
"Backend Engineering (Golang, Python, SQL)",,,,"Python, Golang"
Backend Engineering (Java or C++)_All Level,,,,"Java, OOP, NoSQL"
Backend Engineering (Java/Go/Python/NodeJS),,,,"Java, Python, Golang"
Backend Engineering (Open to All Levels),,,,"Java, C++, .NET"
"Backend Engineering (PHP, Nodejs, Go)",,,,"PHP, NodeJS, Golang"
Backend Engineering (Python/English/Scala),,,,"Python, English, Scala"
Backend Engineering (Rust)  up to 4,,,,"DevOps, Python, Golang"
Backend Java Development (AWS),,,,"Java, AWS, Spring"
Backend Lead ( Python/Golang/NodeJS),,,,"NodeJS, Python, Golang"
Backend Lead ( Python/Golang/NodeJS),,,,"Team, Leader, Python, Golang"
"Backend Leader (Java, Kotlin, Spring)",,,,"Java, Team, Leader, Spring"
"Backend NodeJS (PHP, Linux, MySQL)",,,,"NodeJS, MySQL, PHP"
"Backend NodeJS (PostgreSQL, Typescript)",,,,"NodeJS, PostgreSql, JavaScript"
Backend NodeJS Development,,,,"NodeJS, MySQL"
Backend PHP Dev (Laravel/SQL),,,,"PHP, SQL, Laravel"
Backend Software Engineering(Ruby On Rails),,,,"Ruby, on, Rails, Ruby, English"
Backend Technical Leader (Java),,,,"Java, Team, Leader, JavaScript"
BI Reporting& Analytics Management(English),,,,"Data, Data Analyst, Team, Leader, English"
Blockchain,,,," C++,  Python,  Node,  Angular,  React Culturally fit for startup environment MongoDB,  PostGresql,  MySql Enthusiastic to learn new technologies AWS,  Docker,  Microservices Blockchain,  Protocol,  Consensus "
Blockchain,,,," C++ ,  java Operating Systems: Windows XP,  Apex,  Visualforce,  Database: Mysql,  Framework: Django,  Technologies: Salesforce.com (Administration and MS Excel),  Force.com,  Salesforce CRM,  Blockchain Website Designing: HTML5,  CSS3"
Blockchain,,,," Ethereum Solidity Hyperledger,  Beginner Go,  Ubuntu RDBMS: Oracle (SQL) Database,  My SQL,  PostgreSQL Markup & Scripting: HTML,  JavaScript & PHP,  CSS,  JQuery,  Angular js. Framework: Struts,  Hibernate,  spring,  MVC Web Server: Tomcat and Glassfish. Web Services: REST AND SOAP TRAINING DETAIL Duration: months From: - United Telecommunication Limited Jharnet project (Place - Ranchi,  Jharkhand) Networking Requirements: Elementary configuration of router and switch,  IP and MAC addressing,  Lease Line,  OSI Layers,  Routing protocols. Status: - Network Designer. "
Blockchain,,,,"MS Word,  MS Outlook,  Beginner RCorda,  Beginner Tendermint,  Nodejs,  C Programming,  Java,  Machine Learning specilaized in Brain Computer Interface,  Computer Networking and Server Admin,  Computer Vision,  Data Analytics,  Cloud Computing,  Reactjs,  angular "
Blockchain Dev ( Rust/Solidity ),,,,"Blockchain, Python, Java"
Blockchain Engineering (Go),,,,"Blockchain, Golang"
"BrSE  English (ReactJS, .NET)",,,,"NodeJS, PHP, React, Native"
Business Analyst,,,," Jboss 7.1. Database: SQL,  Oracle and DB2. Report Tool: iReport,  Crystal report. Career Graph "
Business Analyst,,,," UNIX (Linux/Ubuntu) Languages: Java,  C++ Web Languages: JavaScript,  HTML Tools: Citrix Software,  System Architect,  Quality Center v9. & v1.,  Tortoise SVN,  DOORS,  Artifact Viewer,  JformDesigner,  JIRA,  Microsoft D36Other Skills: Microsoft Office,  MS Excel,  MS PowerPoint,  MS Visio,  AutoCAD,  VLSI,  MS-CIT Certified.  "
Business Analyst,,,," MS Visio Prototyping Tool: Indigo Studio. Documentation: MS Office (MS Word,  MS Excel,  MS Power Point) Testing Proficiency: Smoke,  Sanity,  Integration,  Functional,  Acceptance and UI Methodology implemented: Waterfall,  Agile (Scrum) Database: SQL Testing Tool: HPQC Business Exposure  "
Business Analyst,,,," Word,  PowerPoint,  JAVA"
Business Data Analyst,,,,"Business, Data Analyst, MySQL, Data, Data Analyst"
Business Data Analyst,,,,"Business, Data Analyst, SQL"
Business Data Analyst,,,,"Business, Data Analyst, Blockchain, Scrum"
Business Data Analyst,,,,"Business, Data Analyst, SQL, English"
Business Data Analyst,,,,"Business, Data Analyst, MySQL, Agile"
Business Data Analyst,,,,"Business, Data Analyst, Database"
Business Data Analyst ,,,,"Business, Data Analyst, Database, Data, Data Analyst"
Business Data Analyst ,,,,"Business, Data Analyst, Project, Management"
Business Data Analyst ,,,,"Business, Data Analyst, English"
Business Data Analyst ,,,,"Business, Data Analyst, Database, SQL"
Business Data Analyst  3tr SIGNUP ,,,,"Business, Data Analyst, Data, Data Analyst"
Business Data Analyst (BA),,,,"Business, Data Analyst, Project, Management, QA"
Business Data Analyst (BA),,,,"Business, Data Analyst, UIUX"
Business Data Analyst (BA)  ,,,,"Business, Data Analyst, Product, Management"
Business Data Analyst (English)Welcome ,,,,"Business, Data Analyst, English, QA, QC"
"Business Data Analyst (English, Agile)",,,,"Business, Data Analyst, Agile, English"
Business Data Analyst (English/ Agile),,,,"Business, Data Analyst, Agile, English"
"Business Data Analyst (ERP, Agile)",,,,"Business, Data Analyst, Agile, UIUX"
Business Data Analyst (IT),,,,"Business, Data Analyst, Agile"
Business Data Analyst (Middle/Senior),,,,"Business, Data Analyst, Project, Management, QA"
"Business Data Analyst (Product, Scrum)",,,,"Business, Data Analyst, Agile, UIUX"
Business Data Analyst (QA QC),,,,"Business, Data Analyst, English, QA, QC"
"Business Data Analyst (QA QC, MySQL)",,,,"Business, Data Analyst, MySQL, QA, QC"
Business Data Analyst (Senior/Leader/Management),,,,"Business, Data Analyst, English"
"Business Data Analyst (SQL, Database)",,,,"Business, Data Analyst, Database, SQL"
Business Data Analyst (Tester),,,,"Tester, Business, Data Analyst"
Business Data Analyst / Functional Consultant,,,,"Business, Data Analyst, ERP, Project, Management"
Business Data Analyst / Product Data Analyst,,,,"Business, Data Analyst, UIUX, Product, Management"
"Business Data Analyst Lead (QA/QC, UI UX)",,,,"Business, Data Analyst, UIUX, QA, QC"
Business Data Analyst Management (Agile),,,,"Business, Data Analyst, Agile, Management"
Business Data Analyst up to   ,,,,"Business, Data Analyst, Agile, English"
Business Intelligence Development,,,,"English, Data, Data Analyst"
"Business Intelligence Engineering (BI, SQL)",,,,"Python, SQL, Cloud"
Business System Data Analyst,,,,"Business, Data Analyst, Database, SQL"
"C# Development (MySQL, Oracle)",,,,"C#, MySQL, Oracle"
"C# Development (SQL, MySQL)",,,,"C#, MySQL, SQL"
"C# Development (Winforms, .NET, MySQL)",,,,"C#, MySQL, .NET"
C#/.NET Dev (Asp.net MVC/Web API),,,,".NET, C#, ASP.NET"
C/C++ Development,,,,"C, C++, English"
C++ Development,,,,"C++, C, Designer"
C++ Development (Interns/Fulltime/),,,,"C++, Linux, Networking"
C++ Engineering (Signon ),,,,"C++, MySQL, Networking"
C++ Software Developments,,,,"C++, Linux, C"
C++(MFC/ATL) Senior Software Engineering,,,,"C++, ASP.NET, .NET"
Card Technology Solution Development,,,,"Oracle, SQL, ASP.NET"
CG/CVCC Automation/Manual Tester (Agile),,,,"Tester, Agile, Android"
Civil Engineeringing,,,,"2D AutoCAD,  3D  AutoCAD "
Cloud Data Engineering (Salary Up to 4),,,,"Database, Python, Cloud"
"Cloud Dev for IoT (Java, JavaScript)",,,,"Java, JavaScript, Cloud"
Cloud Engineering (Linux) + signon ,,,,"Cloud, Linux, Networking"
Cloud Open Stack Architect(Python/Linux),,,,"Python, Linux, Cloud"
CSCART Development (PHP/CSS/HTML5),,,,"PHP, HTML5, CSS"
Data Analytics Management,,,,"Data, Data Analyst, Database, Management"
"Data Automation Engineering Database, QA QC",,,,"Database, Python, QA, QC"
Data Data Analyst ,,,,"Python, SQL, AWS"
"Data Data Analyst (Python, Java, SQL)",,,,"Java, Python, SQL"
Data Data Analyst (SQL)  (Online Interview),,,,"Python, Database, SQL"
"Data Data Analyst Lead (BI, SQL)",,,,"Data, Data Analyst, C#, Team, Leader"
Data Engineering,,,,"SQL, Database, PostgreSql"
Data Engineering,,,,"Python, SQL"
Data Engineering ,,,,"Database, Python, System, Engineering"
Data Engineering ,,,,"Database, Python, English"
"Data Engineering (Database, Python, MySQL)",,,,"Database, Python, MySQL"
"Data Engineering (Database, SQL, Python)",,,,"Database, Python, SQL"
"Data Engineering (Java, Python, Scala)",,,,"Java, Python, Scala"
Data Engineering (metadata)  SQL/Python,,,,"Python, Database, SQL"
Data Engineering (Power BI/Python/SQL),,,,"Python, Database, SQL"
"Data Engineering (Python, Java, NodeJS)",,,,"Java, Python, NodeJS"
"Data Engineering (Python, Scala, AWS)",,,,"Python, AWS, Scala"
"Data Engineering (Python, SQL, MySQL)",,,,"Python, MySQL, SQL"
Data Engineering (Python/GCP),,,,"Python, Database, Cloud"
"Data Engineering (SQL, Python)",,,,"Database, Python, SQL"
"Data Engineering (SQL,ETL)",,,,"Database, SQL, English"
Data Engineering (Talend/Power Center),,,,"Data, Data Analyst, System, Engineering, SQL"
Data Engineering Management (Python/Database),,,,"SQL, Python, Database"
Data Science,,,," Control System Design,  Programming in-Python,  Electric Machinery,  Web MS Excel,  Analytics , Java,  Python ,  LabView,  Python WebFrameWork-Django,  Flask,  LTSPICE-intermediate Languages and and MIPOWER-intermediate,  Github (GitBash),  Jupyter Notebook,  Xampp,  MySQL-Basics,  Python Software Packages Interpreters-Anaconda,  Python2,  Python3,  Pycharm,  Java IDE-Eclipse Operating Systems Windows,  Ubuntu,  Debian-Kali Linux  "
Data Science,,,," IOT,  Python,  MATLAB,  Data Science,  Machine Learning,  HTML,  Microsoft Word,  Microsoft Excel,  Microsoft Powerpoint. RECOGNITION Academic Secured First place in B.Tech. "
Data Science,,,," AI,  Robotics"
Data Science,,,," Reports , Forecasts"
Data Science/ Data Data Analyst (BI),,,,"English, Cloud, Scrum"
Data Science,,,,"Database, Python, PostgreSql"
"Data Science (Python, Cloud, Database)",,,,"Python, Database, Cloud"
"Data Science (Python, SQL, AWS) ",,,,"Python, SQL, AWS"
Data Science / Data Quant Data Analyst,,,,"Data, Data Analyst, Database, Blockchain"
Database Management,,,," Oracle 11gR Operating Systems: Redhat Linux,  Oracle Linux,  Windows Server 212/ 21OTHER TECHNICAL SKILLS ORACLE 11G R Proficient in Oracle Database Software Installation,  Creation of Database using GUI/Silent DBCA,  Architecture,  File management,  Space Management,  User Management,  Creating Roles and assigning Privileges/Roles in 11gRand troubleshooting them.  Hands on experience Control files/Redolog/Archive/Undo Management  Configuring Listener.ora/Tnsnames.ora file using Netmgr/netca  Generating AWR reports,  ADDM,  ASH reports to diagnose the problems  Database Backup,  Cloning/Duplicate using hot & cold backups using RMAN."
Database Management,,,," Sybase ASE Server,  Oracle,  MongoDB Monitoring and Ticketing Tools HP Service Management 7./9.,  Solar winds DPA,  JIRA and MongoDB OPS Management Web Server IIS 7. Database Tools SSMS,  DBArtisan,  Studio 3T,  SnapShot Management for SQL Server "
Database Management,,,," Idera SQL Safe,  SSMS,  Upgrade Advisor,  SQL Server Profiler,  SCOM,  Diagnostic Management,  Remedy,  Jira,  Infopacc,  Tivoli TDP backup tool,  SQL Pack DatabasesMS SQL Server 216/214/212/ 2R2/ 28,  Oracle 1g,  Netezza Microsoft azure  "
Database Management,,,," MySQL,  MARIADB,  PostgreSQL Database Administration ITSKILLS SQL Oracle 1g,  11g,  MYSQL,  MariaDB,  postgreSQL Windows,  Linux Putty  "
Database Management,,,," Windows Server 21R2,  Windows 98,  Windows 2/ XP Tools & Utility Packages SQL* Loader,  SQL*PLUS,  OEM,  Datapump,  expdp/impdp,  PLSQL Development,  Jenkins Database Oracle 1g,  Oracle 11g,  Oracle 12c Scripting UNIX Shell Scripting Language SQL  "
Database Management,,,," 11g & 12c Technology/utilities: Data Pump,  RMAN,  Data guard,  ASM,  RAC,  Golden Gate Tools: OCC,  PUTTY,  SQLPLUS,  SQL Development,  Netbackup,  SCOM,  SCCM,  VMWare Vsphere Operating Systems: RHEL 6.,  RHEL 6.5,  UNIX and Microsoft Windows "
Database Management,,,,"Operating Systems: WINDOWS XP/7,  WINDOWS SERVER 28,  MS Office ,  Performance Monitor,  Sql profiler, SSMS"
Database Management,,,," 1g  Weblogic 12c,  11g  Grid Infrastructure  RMAN  ASM  Middleware: OIM,  OAM,  SOA  Shell Scripts  DataGuard  Web servers - OHS,  Apache  Architecture Designs  Proof of Concepts  DevOps "
Database Management,,,,"R ,  Python,  linear regression,  machine learning and statistical modelling techniques"
"Database Admin (SQL, Oracle)",,,,"Database, SQL, Oracle"
Database Administrator (SQL Server),,,,"Database, SQL, .NET"
"Database Administrator (SQL, NoSQL)",,,,"SQL, Database, NoSQL"
"Database Dev (MySQL, Oracle)",,,,"Database, MySQL, Oracle"
Database Development (All Levels),,,,"SQL, MySQL, NoSQL"
"Database Development (MySQL, Oracle, SQL)",,,,"MySQL, SQL, Oracle"
Database Development (Power BI),,,,"SQL, Agile, English"
"Database Development (SQL) Up to 2,",,,,"Database, SQL, English"
"Database Engineering (Oracle, MySQL)",,,,"Database, MySQL, Oracle"
"Dev (PHP, .Net, Wordpress)",,,,"PHP, Wordpress, .NET"
"Dev .Net  (asp.net, c#)",,,,".NET, C#, ASP.NET"
Development Team Lead (.NET/AWS) ,,,,".NET, AWS"
Developments ( Angular/Java/Android/iOS ),,,,"Java, Android, iOS"
DevOps    NET   ,,,,"DevOps, AWS, Cloud"
DevOps / Cloud Engineering (signon ),,,,"DevOps, AWS, Cloud"
DevOps Engineering,,,,"DevOps, Python, AWS"
DevOps Engineering,,,,"DevOps, Linux, Cloud"
DevOps Engineering ,,,,"DevOps, AWS, Cloud"
"DevOps Engineering (AWS, Cloud)",,,,"DevOps, AWS, Cloud"
"DevOps Engineering (AWS, Cloud)",,,,"DevOps, AWS, Cloud"
"DevOps Engineering (AWS, Cloud)  ",,,,"DevOps, AWS, Cloud"
"DevOps Engineering (AWS, Kubernetes)",,,,"DevOps, AWS, Cloud"
"DevOps Engineering (AWS, MySQL)",,,,"AWS, MySQL"
"DevOps Engineering (AWS, MySQL)",,,,"DevOps, MySQL, AWS"
"DevOps Engineering (AWS, NodeJS)",,,,"DevOps, NodeJS, AWS"
Devops Engineering (AWS/Cloud),,,,"DevOps, AWS, Cloud"
"DevOps Engineering (CI/CD,Cloud/Java)",,,,"DevOps, Java, Cloud"
"DevOps Engineering (Cloud, AWS)",,,,"DevOps, AWS, Cloud"
DevOps Engineering (JuniorMiddle Level),,,,"DevOps, Linux, AWS"
"DevOps Engineering (Linux, System Engineering)",,,,"DevOps, Linux, System, Engineering"
DevOps Engineering (Linux/System Admin),,,,"DevOps, Linux, System, Admin"
"DevOps Engineering (Python, AWS, Linux)",,,,"DevOps, Python, AWS"
"DevOps Engineering (Python, Golang)",,,,"DevOps, Python, System, Engineering"
"Devops Engineering (Python, Linux)",,,,"DevOps, Python, Linux"
DevOps Engineering (Python/Docker),,,,"Python, PostgreSql, Java"
"DevOps Engineering(PHP, ReactJS)  ",,,,"PHP, NodeJS, ReactJS"
DevOps Engineeringing,,,," SQL,  PL/SQL, JAVA, JAVAEE, Javascript, HTML, CSS, jquery, mysql, Spring , Hibernate.  Software Tools: Xillinx,  Modelsim,  Matlab,  Multisim.  Operating Systems: Windows XP,  Vista, 7, 8"
DevOps Engineeringing,,,," Core Java  Version Controls: GIT,  Bitbucket  Build Tools: ANT,  Maven  CI/CD Tools: Jenkins  Configuration management: Ansible  Scripting: Shell Script  Application Servers: Apache Tomcat server "
DevOps Engineeringing,,,," SharePoint,  MS SQL and Oracle PL/SQL Project Management & Execution Cloud Computing using Windows Azure and Amazon AWS/ ECCloud XML/XAML/XSLT,  HTML5,  DHTML,  CSS3,  JavaScript/JQuery/JSON,  AngularJS,  Web API,  OData Service,  VBScript,  Node JS,  Handling Dynamic QA Activities,  Project Delivery Frameworks UI Design and Mobile MS Excel,  JAVA,  JSP,  SWING,  J2EE Service Oriented Architecture (SOA),  Web Service/WCF Service/Web API,  Requirement Gathering Design Pattern like MVC,  MVP,  Abstract Factory OOAD with UML Implementation .NET SAP Connector to interact with SAP through ASP.NET Client Management SAP Web Channel and SAP Enterprise Portal Environment Android,  iOS,  Team Foundation Server 21/12(TFS),  GitHub,  IBM Rational Key Account Management DevOps,  Team Forge and SharePoint Portal Administration /MS Excel,  CollabNet,  JIRA. IOT Implementation,  Web/Data analytics,  Working with the road map of Machine learning and AI. Expertise BI tools like Crystal report,  Escalation Management SSRS,  Tableau,  Micro Strategy"
DevOps Engineeringing,,,," PHP,  Python,  MySql,  JavaScript,  HTML 5,  Ajax,  Jquery,  XML,  Agile Methodology,  DevOps Methodology,  Scrum Framework,  JIRA Tool,  GIT,  Bitbucket,  Anjular JS 1,  Angular JS 2,  Core Java,  J2EE.  "
DevOps Engineeringing,,,," RTC and JIRA  AS4 (iSeries) with SQL  Test Automation: X- Framework (In hours HSBC Framework),  UFT and LISA  Test Data Automation - CATDM  Test Scheduling - Jenkins and Maven  Test Document Versioning - Confluence and SharePoint. "
"DevSecOps Engineering (AWS, Cloud)",,,,"DevOps, AWS, Cloud"
Digital Banking  Java Development (12),,,,"Java, J2EE, Spring"
Digital Data Data Analyst,,,,"Data, Data Analyst, Database"
Digital Data Engineering,,,,"MySQL, Python, Java"
Digital Data Scientist,,,,"MySQL, Python"
Digital Product  CVCC ,,,,"Product, Management, System, Engineering, Project"
Digital Product Owner,,,,"Product, Management, English, Project, Management"
Digital Project Management,,,,"English, MySQL, UIUX"
Digital Project Management  PM,,,,"Project, Management, English"
