Course,Institutions
Microsoft Certified Professional (Mcp),
ITIL Foundation,
Bachelor in Technology Software Development,
National Diploma: Technical Applications,
Diploma In Marketing Management,
Bachelor of Science  Electronic Engineering,
Engineering,
Bachelor of Science  (It),
(MCSA: SQL Server 2016),
Masters of Commerce Information Systems,
Certified Business Analysis Professional (Cbap),
Sap Abap Certification,
Humanities,
Mcad (Microsoft Certified Applications Developer),
Pmi Certification - Pmp,
Graphic Designing,
Bachelor of Commerce Honours Information Systems,
MCSD,
Postgraduate Diploma in Financial Planning,
Bachelor of Science,
"Bachelors Degree in Software Development""]",
MBA,
Bachelor of Science  Computer Science / Applied Mathematics,"Africa Nazarene University, Catholic University of Eastern University, Gretsa University, Kenya Methodist University, St. Pauls University, Strathmore University, Jomo Kenyatta University(JKUAT), Kenyatta University"
Business & Systems Analyisis,
Business analysis,
Professional writer,
Bachelor Of Commerce-Major-Marketing&Business Adm,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Kenya Methodist University, Management University of Africa, Pan Africa Christian University, Scott Christian University, St. Pauls University, Strathmore University, Zetech University, Dedan Kimathi University, Jomo Kenyatta University(JKUAT), Multimedia University"
Doctor Of Philosophy In Physics Degree,
BA Social Work,
Software Development,
Matric,
Html 4 \u2013 Level 2 And Integrated Html,
High School,
Registered Person Exam,
Commercial Course,
Flowcentric.Net Certification,
National Diploma: It: Technical Applications,
SQL Server Microsoft Certificate,
Master of Science in Electronics,
Bachelor in Technology Information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
Bachelor of Technology,
Certified Lotus Professional R5: Development,
Incomplete Bachelor of Science (Coms),
Bachelor of Commerce (Honours):Informatics,
N6,
Sales Techniques And Skills,
Computer Science,"Africa Nazarene University, Catholic University of Eastern University, Gretsa University, Kenya Methodist University, St. Pauls University, Strathmore University, Jomo Kenyatta University(JKUAT), Kenyatta University"
Bachelor of Commerce Information Systems,
Bachelor of Technology Computer Systems,
Hons B.Com (Bank Risk Management),
Bachelor of engineering,
Bachelor of Science  Mathematics with Computer Sciences,"Africa Nazarene University, Catholic University of Eastern University, Gretsa University, Kenya Methodist University, St. Pauls University, Strathmore University, Jomo Kenyatta University(JKUAT), Kenyatta University"
3ds Max Advanced Modeling & Materials,
Bachelors in Business Informatics,
PMP,
HTML to HTML5 and CSS,
Bachelor in Technology,
Information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
National Diploma,
Bachelor in Technology: Information System,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
Java SE & EE,
Masters In Information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
Sun Certified Java Programmer,
Certification,
Microsoft web developer,
Bachelor of Science  (Informatics),
Project Management,
Bachelor of Science  Computer Science,"Africa Nazarene University, Catholic University of Eastern University, Gretsa University, Kenya Methodist University, St. Pauls University, Strathmore University, Jomo Kenyatta University(JKUAT), Kenyatta University"
Master of Computer Science,"Africa Nazarene University, Catholic University of Eastern University, Gretsa University, Kenya Methodist University, St. Pauls University, Strathmore University, Jomo Kenyatta University(JKUAT), Kenyatta University"
Bachelor of Science  Honours,
Bachelor of Science  Honours Applied Mathematics,
Bachelor of Science  Computer Science,"Africa Nazarene University, Catholic University of Eastern University, Gretsa University, Kenya Methodist University, St. Pauls University, Strathmore University, Jomo Kenyatta University(JKUAT), Kenyatta University"
Mcse+Internet,
BA HDE,
(Bachelor of Technology) Degree Part-Time,
PMD,
National Diploma in Information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
National Diploma In Information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
Dimploma In Business Analysis,
Bachelor of Commerce Informatics,
Iseb Intermediate Certification,
MS,
Bachelor of Science .Tech,
Bachelor of Computer Science Engineering,"Africa Nazarene University, Catholic University of Eastern University, Gretsa University, Kenya Methodist University, St. Pauls University, Strathmore University, Jomo Kenyatta University(JKUAT), Kenyatta University"
Information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
Bachelor of Science  Hons (Computer Information Systems),
National Diploma Information Technology,
Issd,
Bachelor of Science  (Computer Science And Apllied Mathematics),"Africa Nazarene University, Catholic University of Eastern University, Gretsa University, Kenya Methodist University, St. Pauls University, Strathmore University, Jomo Kenyatta University(JKUAT), Kenyatta University"
Bachelor of Science  Software Engineering,"Moringa School, eMobilis Training Institute"
Bachelor in Technology Information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
Information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
Information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
Bachelor Of Commerce (Honours) In Information Systems,
Bachelor of Science  Informatics,
Leadership,
Crucial Conversation,
Pl/Sql Program Units Curriculum(Cbt),
Higher Diploma Of Education,
B.Comm(Information Systems),
National Diploma,
Bachelor of Technology Information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
Information System Internet Developer,
MCSD,
Phd (Science),
National Diploma Computer Data Processing,
Mcom Strategic Management,
Bachelor in Technology Information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
International Higher Diploma In Computer Studies,
Bachelor Of Information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
B- Tech,
Sap Certificate,
Bachelor of Science  Computer Science and Informatics,"Africa Nazarene University, Catholic University of Eastern University, Gretsa University, Kenya Methodist University, St. Pauls University, Strathmore University, Jomo Kenyatta University(JKUAT), Kenyatta University"
Payment Basic Systems,
Masters Degree: Master Computer Applications,
Bachelor of Commerce Statistics,
Bachelor of Science  Majoring In Computer Science & Informatics,"Africa Nazarene University, Catholic University of Eastern University, Gretsa University, Kenya Methodist University, St. Pauls University, Strathmore University, Jomo Kenyatta University(JKUAT), Kenyatta University"
Consumer Science: Food & Nutrition,
Masters In Business Leadership,
Bachelor of Science  (Hon) Computer Science,"Africa Nazarene University, Catholic University of Eastern University, Gretsa University, Kenya Methodist University, St. Pauls University, Strathmore University, Jomo Kenyatta University(JKUAT), Kenyatta University"
Master in Computer Application,
B.Com Intrapreneurial Management,
Java SE8,
M.B.A (Master Business Administration,
Certificate 2 In Make-Up Artistry,
Bachelor of Science,
Master Of Computer Application,
It Diploma,
Software Engineer,
Postgraduate Diploma In Management,
Masters of Electrical And Computer Engineering,
International Diploma Computer Studies,
Sun Certified Java Programmer,
Coldfusion Certified Developer,
Basic Animal Behavior,
Bachelor of Science .Eng Chemical Engineering,
Mcsd .Net,
20332B Advanced Solutions of Microsoft SharePoint Server 2013,
Junior Management Programme,
Bachelor of Science  Microbiology and Biochemistry,
M.ENG (ELECTRICAL AND ELECTRONIC) (RD),
Information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
Diploma in information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
Bachelor in Technology,
National Diploma In Information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
Web Design,
Masters,
Sap Workforce Performance Builder Course \u2013 Wpb 9.1,
Sap Certified Portal Development Consultant,
Business Administration,
Bachelor of Science  Software Systems Engineering,"Moringa School, eMobilis Training Institute"
Querying Sql Server 2000 With Transact-Sql,
Mcsa,
Bachelor of Scienceience,
Advanced Sql,
Matric,
Business Intelligence Academy,
Masters Degree In Technology (Business Admin),
Chinese (Mandarin) Language,
Bachelor of Technology In IT,
MCSE,
Masters of Science In Physics,
Innovation And Knowledge Management,
Senior Cert.,
Windows Forms Application Development (70-505),
Baccalaureus Technologiae,
Advanced Diploma Module in Project Management,
Iseb-Istq Foundation Level,
National Diploma,
Web Development,
Ccnp,
Arcgis,
National Diploma: Information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
Education,
Microsoft Certified Solution Developer,
Certificate,
M.Sc. Computer Science,"Africa Nazarene University, Catholic University of Eastern University, Gretsa University, Kenya Methodist University, St. Pauls University, Strathmore University, Jomo Kenyatta University(JKUAT), Kenyatta University"
International Advanced Diploma In Computer Studies,
Post-grad Diploma in Datametrics,
Part Bachelor of Commerce (Information Systems),
Pmi-Rmp - Certified Risk Management Professional,
Datametrics Diploma In Information Systems,
Bachelor of Science Computer Science,"Africa Nazarene University, Catholic University of Eastern University, Gretsa University, Kenya Methodist University, St. Pauls University, Strathmore University, Jomo Kenyatta University(JKUAT), Kenyatta University"
Bachelor Of Business Admin,
Information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
Matric,
Higher Dip. Integrated Marketing Communications,
Master Of Information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
Microsoft Certified Solutions Developer (Mcsd),
OCA JAVA SE8 Fundamental,
IT expert,
Diploma In Database Administration,
Comptia National Exams,
Sql Design And Implementation,
Senior Certificate,
National Diploma (Information & Communication Technology),"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
Bachelor of Science . Elec Eng (Wits),
B.A Social Science,
Information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
Bachelor of Commerce - Informatics,
Certificate In Financial Management,
Web And Application Development,
Word Press Theme Developement Using PHP,
Bachelor of Science,
Senior Certificate,
Diploma Of Information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
National Diploma In Information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
Post Graduate Diploma In Management,
Information Technology(Development Software),"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
Bachelor Of Engineering In Computer Science,"Africa Nazarene University, Catholic University of Eastern University, Gretsa University, Kenya Methodist University, St. Pauls University, Strathmore University, Jomo Kenyatta University(JKUAT), Kenyatta University"
BTEC HND in Information Systems: Software Development,
Sun Certified Java Programmer For Java 5,
Business Systems Analyst Short Course,
Financial Management,
Bachelor Information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
Medical sales representative learnership,
Nd : Information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
Grade 12,
M.Comm Industrial Psycholog],
Macromedia Development,
Software Testing Certificate,
Diploma,
Telecommunication And Networks,
Bachelor of Commerce Hons Business Management (Financial Manage.),"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Kenya Methodist University, Management University of Africa, Pan Africa Christian University, Scott Christian University, St. Pauls University, Strathmore University, Zetech University, Dedan Kimathi University, Jomo Kenyatta University(JKUAT), Multimedia University"
Masters In Software Engineering,
MBA,
National Certificate: Computer Science(2002),"Africa Nazarene University, Catholic University of Eastern University, Gretsa University, Kenya Methodist University, St. Pauls University, Strathmore University, Jomo Kenyatta University(JKUAT), Kenyatta University"
Diploma Human Resource Management  & Practices,
Visual Basic,
Masters of Science Polymer Chemistry,
Bachelor of Science,
B.Com,
Information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
Bachelor in Technology IT,
Bachelor in Technology Business Administration,
Ba Communications,
Bachelors Degree,
Dtp,
Senior Certificate,
Abinitio,
B.Com,
Bachelor of Science Computer Science,"Africa Nazarene University, Catholic University of Eastern University, Gretsa University, Kenya Methodist University, St. Pauls University, Strathmore University, Jomo Kenyatta University(JKUAT), Kenyatta University"
PhD,
Bachelor of Science  CompSci / IT,
MCSE: Data Management and Analytics,
Post Graduate Certificate in Education,
National Diploma Information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
Incomplete,
MCA,
Communication/Information Science,
Advanced Natural Programming,
Digital Publishing,
Senior Certificate,
MTA,
Information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
MBA,
National Diploma In Information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
MSc,
National Diploma Software Development,
National Diploma: Information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
Bachelor of Science  Computer Science 3yrs,"Africa Nazarene University, Catholic University of Eastern University, Gretsa University, Kenya Methodist University, St. Pauls University, Strathmore University, Jomo Kenyatta University(JKUAT), Kenyatta University"
Developing Web Applications with PHP,
Honours Computer Science,"Africa Nazarene University, Catholic University of Eastern University, Gretsa University, Kenya Methodist University, St. Pauls University, Strathmore University, Jomo Kenyatta University(JKUAT), Kenyatta University"
NDIP IT: Technical Applications,
Information Technology (Software Development),"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
C# Advanced,
Bachelor of Science  DEGREE,
National Diploma In Electrical Engineering,
Information Systems Management,
Diploma (It),
Bachelor of Science . Psychology,
MSc Astrophysics,
Matric,
Nationa Diploma Information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
Grade 12/Matric,
Advanced Diploma In Computer Programming & E-Comm,
Software Development,
Senior Certificate,
Customer Excellence,
Mcp,
Computer Systems Engineering,
Bachelor of Marketing Management,
Bachelor of Science  In Computer Systems,
Sun Jcaps,
Pnc Professional Diploma,
Master Of Science,
Master of Science,
2310 - Developing Ms Asp.Net Web Applications Usin,
Technical & Business Writing,
Masters Of Business Administration (Mba),
"Drivers License""",
Bachelor of Technology: Information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
Bachelor of Science hons(Awarded By London Metropolitan University),
Matric,
Bit600 Sap Webflow Concepts,
Certificate Course In Business & Systems Analysis,
Sap Certification,
Vip Classic,
Bachelor Of Information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
Business Management,
Diploma In Client Server Programming,
Diploma Business Analysis,
Business Anlysis,
Bachelor of Science  Computer Science + Math,"Africa Nazarene University, Catholic University of Eastern University, Gretsa University, Kenya Methodist University, St. Pauls University, Strathmore University, Jomo Kenyatta University(JKUAT), Kenyatta University"
Project Management Professional,
Fundamentals Of Project Management,
Togaf,
Diploma in Computer Sciences,"Gretsa University, St. Pauls University, Uzima College, Zetech University, University of Kabianga, Muranga University, South Eastern Kenya University"
Bachelor of Science,
Microsoft Dynamics CRM 2011 Customization and Configuration,
National Senior Certificate,
Masters of Sciencee And A+,
Bachelor of Science. Applied Mathematics and Computer Science,"Africa Nazarene University, Catholic University of Eastern University, Gretsa University, Kenya Methodist University, St. Pauls University, Strathmore University, Jomo Kenyatta University(JKUAT), Kenyatta University"
Ditp2 - Diploma In Information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
Multimedia Design,
Strategic Leadership Development Programme,
Bachelor of Science (Hons) Advanced Mathematics Of Finance(Hybrid Computer Science),"Africa Nazarene University, Catholic University of Eastern University, Gretsa University, Kenya Methodist University, St. Pauls University, Strathmore University, Jomo Kenyatta University(JKUAT), Kenyatta University"
Adabas Fundamentals,
Bachelor of Science Computer Science,"Africa Nazarene University, Catholic University of Eastern University, Gretsa University, Kenya Methodist University, St. Pauls University, Strathmore University, Jomo Kenyatta University(JKUAT), Kenyatta University"
Oracle Database 11g Data Warehousing Certified Implementation Specialist,
Information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
Mcsd.Net,
Ocp Internet Application Developer,
A+,
Nd:Information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
Bachelor in Technology:  Computer Systems Engineering,
Bachelor of Commerce Business Management,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Kenya Methodist University, Management University of Africa, Pan Africa Christian University, Scott Christian University, St. Pauls University, Strathmore University, Zetech University, Dedan Kimathi University, Jomo Kenyatta University(JKUAT), Multimedia University"
Masters In Research,
Computer Engineering,
Multimedia Design,
Honours Degree In Computer Science,"Africa Nazarene University, Catholic University of Eastern University, Gretsa University, Kenya Methodist University, St. Pauls University, Strathmore University, Jomo Kenyatta University(JKUAT), Kenyatta University"
Mcpd,
Bachelor of Science .Computer Science And Statistics,"Africa Nazarene University, Catholic University of Eastern University, Gretsa University, Kenya Methodist University, St. Pauls University, Strathmore University, Jomo Kenyatta University(JKUAT), Kenyatta University"
Bachelor of Science. Information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
Senior Paralegal,
ITIL Foundation,
Ibm Certified Advanced System Administrator,
Senior Certificate,
Bachelor Of Science Information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
Bachelor Of Business And Commerce Degree In Informatics,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Kenya Methodist University, Management University of Africa, Pan Africa Christian University, Scott Christian University, St. Pauls University, Strathmore University, Zetech University, Dedan Kimathi University, Jomo Kenyatta University(JKUAT), Multimedia University"
Bachelor of Commerce Marketing Management (General Business Major),"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Kenya Methodist University, Management University of Africa, Pan Africa Christian University, Scott Christian University, St. Pauls University, Strathmore University, Zetech University, Dedan Kimathi University, Jomo Kenyatta University(JKUAT), Multimedia University"
Bachelor of Science  - Information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
M.S. Computer Science,"Africa Nazarene University, Catholic University of Eastern University, Gretsa University, Kenya Methodist University, St. Pauls University, Strathmore University, Jomo Kenyatta University(JKUAT), Kenyatta University"
Nd It,
Information Technology Diploma,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
National Diploma,
E-Design,
Cobol Diploma,
Bachelor of Technology Degree In Information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
Bachelor Computer Science,"Africa Nazarene University, Catholic University of Eastern University, Gretsa University, Kenya Methodist University, St. Pauls University, Strathmore University, Jomo Kenyatta University(JKUAT), Kenyatta University"
Mit - Masters Information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
Certificate In Visual Basic Programming,
Bed Honours,
Matric,
Matriculation Exemption,
Marketing Management Bachelor of Commerce,
Dipl. Project Management,
Electronics&Communications Engineering,
Bachelor of Science  Computer Science and Informatics Honours,"Africa Nazarene University, Catholic University of Eastern University, Gretsa University, Kenya Methodist University, St. Pauls University, Strathmore University, Jomo Kenyatta University(JKUAT), Kenyatta University"
Masters in health economics,
Oracle 9i : Dba,
