Course,Skills
Innovation And Knowledge Management,"Knowledge Management,  Web And Content Management,  Management Skills,  Microsoft Office: Proficient In Excel,  Word & Outl,  Library And Resource Centres,  Research,  Dev And Management Of Intranet And Websites,  Project Management"
Senior Cert.,"Negotiation,  Performance Management"
Windows Forms Application Development (70-505),"PHP,  C#,  Windows,  Linux,  Help Desk Support,  Microsoft Reporting Services,  C++,  Visual Basic 6.0,  BPM Solutions using Metastorm E-Works & Intalio"
Baccalaureus Technologiae,"Microsoft Office,  mobile and web development,  Integration,  Java script,  Software testing,  software development"
Advanced Diploma Module in Project Management,"Sql Admin 2000/2005/2008,  Project Management,  Sql 2005 Integration Services,  Cobol,  Sql 2005 Reporting Services,  Active Directory,  Microsoft Office,  Microsoft Windows 2000/2003,  Microsoft Windows Xp"
Iseb-Istq Foundation Level,"Quality Centre,  SQL,  Rumba,  Bmc Remedy,  Business Objects (Crystal Reporting),  Visual C++,  Java,  C++ Builder"
National Diploma,"Windows 98,  Nt, 2000,  Me,  Xp And Vista,  HTML,  PHP,  Javascript,  Mysql"
Web Development,"Pc Maintenance,  Business Documents Creation,  Tendering,  Sheq (Safety Health Environment Quality) Management,  Project Status Reporting,  MS Project,  Business Analysis,  Networking,  Maromedia Dreamweaver Mx"
Ccnp,"Microsoft Office,  Network Engineering,  It Support,  Internet Programming: Html,  Asp,  Php,  Jsp,  Javascr,  Programming: Java"
Arcgis,"Programing Using C# And Delphi,  GIS,  Networking,  Usinng Arcgis 8.3, Arcsde, Arcims"
National Diploma: Information Technology,"C,  Linux, Unix,  Oracle Pl/Sql,  C++,  Vb.Net"
Education,"Learning Design And Development,  Microsoft Word,  Needs Analysis,  Facilitation Of Learning,  Microsoft Powerpoint,  Microsoft Exell,  Illustrator,  Photoshop Cs"
Microsoft Certified Solution Developer,"Adobe Photoshop,  Visual Basic 6,  Microsoft Access,  Internet Information Server,  MS SQL Server,  ASP,  Dhtml,  Visual Interdev,  VBachelor of Science ript"
Certificate,"WCF,  SSiS,  MVC,  APi XMl,  html5,  Jquery,  Mobi develepments,  Asp C#, Vb"
M.Sc. Computer Science,"Artificial Intelligence,  Unity3D,  Java,  C#,  Delphi,  C++,  Machine Learning,  Python,  Matlab"
International Advanced Diploma In Computer Studies,"Please refer to CV,  SQL,  CSS,  Xml,  C#,  VB.Net,  Html,  Anti-Virus,  Firewalls"
Post-grad Diploma in Datametrics,"Programming,  Software Development,  COBOL,  MFCobol,  SQL Server,  SDLC,  Net Express,  Legacy systems,  Requirements Analysis"
Part Bachelor of Commerce (Information Systems),"Advance Queries & Crystal, Peopletools 1&2, Pshrms,  Quality Management Systems,  Linux +,  Html,  Oracle Portal,  Oracle Forms,  Windows Nt"
Pmi-Rmp - Certified Risk Management Professional,"Presentation Skills,  Programme & Project Management,  Business & System Analysis,  Solution Architecture,  Programming,  Object-Oriented Analysis & Design,  Java (Programming Lanaguage),  MS Office Suite (Application),  People Skills"
Datametrics Diploma In Information Systems,"Systems Development,  Programming,  Cobol,  Ibm Db/2,  Ibm Mvs,  jcl,  sql,  Os/390,  Scheduling"
Bachelor of Science Computer Science,"Microsoft Excel,  Microsoft Word,  Microsoft Powerpoint,  Php, Html, CSS, Javascript, Jquery, Xml"
Bachelor Of Business Admin,"Learning Designer And Developer,  Training Consultant,  Trainer/Material Developer"
Information Technology,"Programming,  C#,  SQL,  ASP.NET MVC,  Javascript,  JQuery,  .NET"
Matric,"Microsoft Access 97,  Full Life Cycle,  Information Systems,  Information Technology,  Computer Hardware,  Operating Systems,  Oracle Pl/Sql,  Delphi,  Programming"
Higher Dip. Integrated Marketing Communications,"Microsoft Outlook,  Microsoft Word,  Microsoft Powerpoint,  Microsoft Excel,  Office 2000"
Master Of Information Technology,"It Training,  Billing Systems Oracle Billing And Revenue Managem,  Development/Programming (Java,  Jdbc,  Et,  Project Management"
Microsoft Certified Solutions Developer (Mcsd),"Dhtml,  HTML,  Javascript,  Sql Server,  CSS,  XML,  Asp.Net,  Jquery,  VBachelor of Science ript"
OCA JAVA SE8 Fundamental,"SOFTWARE TESTING,  JBOSS,  ASP.NET,  SQL,  JAVAEE,  TESTING,  C#,  JAVA,  BUSINESS ANALYSIS"
IT expert,"jQuery,  Javascript,  LAMP,  Zend Framework,  Magento,  SQL,  Symfony Framework,  PHP,  T-SQL"
Diploma In Database Administration,"Database Management & Development,  Microsoft Excel,  SQL,  Data Capturing,  Access,  Crystal Reports Xi,  Business Object Enterprise,  Visual Basic For Excel,  Report Writing"
Comptia National Exams,"Powerhouse,  HTML,  Delphi,  Java Script"
Sql Design And Implementation,"Computer/Network/Software Support,  Asp Developer,  Sql Server 7 / 2000,  Visual Basic 6"
Senior Certificate,"Sharepoint Developer, .NET Developer,  It, .NET Developer,  Sap Terp10"
National Diploma (Information & Communication Technology),"Internet Explorer / Mozilla Firefox,  N+,  A+,  Printers / Scanners set up,  SAP FI / CO / SD/ / ERP ....+,  ITIL,  CCNA,  HTML / XML,  Oracle  / Forms / Reports"
Bachelor of Science . Elec Eng (Wits),"Project management,  Business analyst,  Customs solutions,  Program management,  Software development management,  Global trade software,  Release management,  Project Management,  Software Delivery And Release"
B.A Social Science,"Career Guidance And Student Counselling,  Community Mobilisation,  Counselling,  Presentation And Public Speaking,  Professional Reporting,  Strategic Planning,  Advocacy And Lobbying,  Community Profiling And Mapping,  Stakeholder Facilitation"
Information Technology,"Visual Basic,  SQL,  Microsoft Access,  Delphi,  ASP,  Sql Server,  Mysql"
Bachelor of Commerce - Informatics,"Asp.Net 4.0,  Vb .Net,  Html/Xhtml,  Asp .Net 2.0,  Classic Asp,  C#,  XML,  Windows Xp,  Asp.Net 3.0 & 3.5"
Certificate In Financial Management,"C#,  Vb.Net,  Asp.Net,  SQL,  XML,  Java Script,  CSS,  WCF,  WPF"
Web And Application Development,"php,  Web Development And Design,  Dynamic Html And CSS,  Database Management,  Mysql,  Javascript,  Java"
Word Press Theme Developement Using PHP,"Customer service\nInternet setup.,  Technical Customer Service Advisor,  Web maintenance,  Administration,  PHP,  CSS3,  Photoshop CS5,  Word Press Theme Design"
Bachelor of Science,"Javascript,  CSS,  PHP,  HTML,  OOP,  Mysql,  Report Writting,  Typo3 Developer,  System Administrator"
Senior Certificate,"powerpoint,  admin,  Syspro,  invoicing,  acts,  excel,  word,  customer relationships,  very good with numbers"
Diploma Of Information Technology,"Web Management Asp.Net With C#,  Communnication Skills,  Excellent Analytical Skills.,  Software Testing,  Development Software,  Project Management Methodolog Skills And Sdlc.,  Time Management"
National Diploma In Information Technology,Sap/Abap
Post Graduate Diploma In Management,"ABAP/4,  C,  SAP R/3 4.7, ECC 5.0, ECC 6.0,  Windows 98/ME/XP.,  MS-Office."
Information Technology(Development Software),"C++ Borland Builder 6 (Object Oriented Langauage),  Database Capturer,  Project Designer,  Software Installation,  Cobol,  Linux,  Oracle 9i Knowledge,  Net-Op School Software,  Pl/Sql Knowledge"
Bachelor Of Engineering In Computer Science,"jQuery,  JSON,  XML,  AJAX,  Git,  Wordpress,  HTML5,  MySQL,  Maria DB"
BTEC HND in Information Systems: Software Development,"CSS,  Dreamweaver CC,  HTML,  HTML5,  C#,  ASP.NET,  Axure,  Balsamiq,  Java (Basic)"
Sun Certified Java Programmer For Java 5,"Javascript,  HTML,  Java,  Jsp,  Servlets,  SQL,  XML,  JSF,  Lotusscript"
Business Systems Analyst Short Course,"Software Development Lifecycle,  Agile Scrum,  Business Process Analyst.,  Business Analyst,  MS Office Suite,  MS Excel,  Programming,  Arduino"
Financial Management,"VB,  ASP,  Sql (Tsql - Admin),  HTML,  Java/Vb Acript,  System Development,  Dhtml,  Ado / Rdo / Access / Dcom / Rs232 / Com,  System Design"
Bachelor Information Technology,"Vb.Net,  MS Word,  Access,  Excel,  Visio,  MS Windows 98, 2000,  XP, Vista"
Medical sales representative learnership,"Computer skills,  typing,  numeracy,  analysing,  Presentation,  problem solving,  Communication skills"
Nd : Information Technology,"Asp,  Vb6, Javascript,  VBachelor of Science ript,  Sql,  Com+,  Html (Hand Code),  Components - Ado,  Odbc"
Grade 12,"Microsoft Office,  HTML5,  PHP,  CSS3,  C#,  Javascript,  Piano,  Golf"
M.Comm Industrial Psycholog],"industrial psychology,  project management,  organisational culture,  Organisational development,  organisational psychology,  Behavioural economics \uf0a7,  Social development and impact \uf0a7,  Employee engagement \uf0a7,  Organisational development \uf0a7"
Macromedia Development,"Computer Technician,  Web Development,  Network Administration And Installation"
Software Testing Certificate,"Microsoft Ofice,  Java,  Soapui,  Sql Developer,  Eclipse,  Mule Esb,  Microsoft C#,  Microsoft Vb,  Java"
Diploma,"MS OFFICE TOOLS,  Admin Work,  Vip Premier"
Telecommunication And Networks,"Oo Design And Algorithm Analysis,  Tutoring Or Mentoring And Presentation,  Research Skills,  Php, Jscript, Sybase, Html,  Java, C++"
Bachelor of Commerce Hons Business Management (Financial Manage.),"Microsoft Word,  Microsoft Powerpoint,  Microsoft Excel,  Visual Basic Programming,  Sql Programming,  Presentation Skills,  Wintask,  Business Objects"
Masters In Software Engineering,"Java,  Jsp And Servlets,  Spring And Hibernate,  Software Engineering"
MBA,"Business Requirements Definition,  Sap PS/IM/MM Consulting,  System Requirements Specification,  Systems Development,  Systems Quality Assurance,  Business Process Engineering,  Information Systems Delivery / Implementations,  Project Management,  Market Research"
National Certificate: Computer Science(2002),"Advanced Computer Skills,  Basic Office Administration,  Public Speaking,  Touch Typing"
Diploma Human Resource Management  & Practices,"Customer Relations,  Payroll Administration,  Conflict Management,  Microsoft Office Package,  Excel Advanced,  Report Writing,  Contract Management,  Logistics Management,  Marketing"
Visual Basic,"Visual Basic,  MS SQL,  XML"
Masters of Science Polymer Chemistry,n/a
Bachelor of Science,"Educating,  Microsoft Excell, Office,  Pencilbox"
B.Com,"Business Analysis,  Agile Software Development,  Certified Product Owner,  Product Development"
Information Technology,"JAVA/AJAX,  CSS3,  C#,  GIMP Image Manipulation,  HTML5,  TFS,  PHP5,  XML,  JavaScript"
Bachelor in Technology IT,"SOFTWARE DESIGN PATTERNS,  MOBILE DEVELOPMENT,  NETWORKING,  SOFTWARE DEVELOPMENT,  JSTL,  XSD,  XSL,  JSF,  SOAP"
Bachelor in Technology Business Administration,"ETL Development,  Data warehouse design,  XML,  MS SQL Server,  VBachelor of Science ript,  Vb 6,  Microsoft Access,  SSIS,  Javascript"
Ba Communications,"Microsoft Word,  Power Point,  Microsoft Excel,  Inbound Call Center,  Outbound Call Center"
Bachelors Degree,"Knowledgeable in Software Requirements and Estimation. \u2022,  Working experience in programming in Visual Basic. \u2022,  Expertise in Database Management Systems (MySQL,  Working experience in Shell Scripting. \u2022,  Experience in Software Testing and Quality Assurance. \u2022,  CSS and Java Script. \u2022,  Mobile programming.,  Familiar with Systems Analysis and Design and also Computer Graphics and Design. \u2022,  Microsoft SQL Server"
Dtp,"Flash,  Microsoft Office,  Photoshop,  Indesign,  Illustrator,  Social Media Marketing,  Html,  CSS,  Php"
Senior Certificate,"Client Training And Liason,  Converting Jpeg/Png Design Into A Working Website,  Front End Design,  Jquery,  Odata"
Abinitio,"Sas Developer,  Sql/Plsql,  Cognos,  Fastedit,  Ab-Initio,  Sas Di Studio"
B.Com,"Vb.Net Application Development,  It- Projects Management,  Creating Crystal Reports,  Writing Microsoft Access Sql Statements,  Asp.Net Web Development"
Bachelor of Science Computer Science,"C++,  Photoshop Cs 5,  JQuery,  JavaScript,  ASP.NET Web Forms,  IIS,  C#,  EF,  HTLM5"
PhD,"ERP developer,  Mobile application teamlead,  Development teamlead,  Project management,  Project management,  Pl/Sql,  Oracle Forms"
Bachelor of Science  CompSci / IT,"JQuery,  Bootstrap,  OpenLayers,  Leaflet,  Mapserver,  MVC,  ASP.NET,  VB.NET,  .NET"
MCSE: Data Management and Analytics,"MS SQL Server 2008 Database administration and scripting,  Very Good Analytical & Problem Solving Techniques,  MS SQL Server 2012 Database administration and scripting,  MS SQL Server 2014 Database Administration and Scripting,  Data and Database Migration,  MS SQL Installations and Upgrades,  Very Good Verbal And Written Abilities.,  Work And Study Related Research,  Database backup and restore"
Post Graduate Certificate in Education,"Microsoft Office,  Food Industry,  Hospitality Industry,  Sales,  Customer Service,  Food Quality & Stock Management,  Recipe & Product Development & Standardization,  People Management,  Product Management"
National Diploma Information Technology,"Microsoft office,  Software Development,  Administration,  Data Capturing,  Researching,  Microsoft Software Packages,  Reports"
Incomplete,"Switchboard,  Customer Services,  Personal Assistant,  Office Admin,  Computer Literacy"
MCA,"Qlikview N-Printing,  Data Warehouse,  Business Intelligence,  Sql,  Database,  SQL,  Qlikview,  Qliksense"
Communication/Information Science,"Internet,  Microsoft Powerpoint,  Adobe Photoshop,  Microsoft Word,  Research/Fact Checking,  Macromedia Freehand,  Editorial,  Microsoft Excel,  Online Databases"
Advanced Natural Programming,"Adabas,  Natural,  COBOL,  Microsoft Office,  Cobol Programming,  Natural Programming,  Adabas Database,  JCL,  Adastrip Utility"
Digital Publishing,"Design,  Developing,  Flash,  Programming,  Asp,  Php"
Senior Certificate,"MS Office VBA (Especially Excel),  Windows Desktop Operating Systems (95 Through Xp),  Intel Based Hardware,  MS Office Access,  Visual Basic (Vb 6.0 And Vb.Net),  MS SQL Server (2000 and 2005),  Ado.Net,  Asp.Net,  Linux (Fedora Core 3)"
MTA,"PHP,  html,  python,  javascript,  sql,  C++,  vb,  linux,  project management"
Information Technology,"Managerial skills,  Team building,  Communication skills,  Microsoft office,  Internet Explorer,  Technical Support,  Vb.Net,  HTML,  VB.Net"
MBA,"Research,  Presentation,  Computer Literacy,  Auditing,  Operations,  Consulting"
National Diploma In Information Technology,"SQl,  Visual Basic 6,  Active Reports,  Entirex,  Crystal Reports 6,  Delphi 5,  C++"
MSc,"teradata,  unix,  oracle,  autosys,  etl,  datastage"
National Diploma Software Development,"MySql,  VB,  Java,  MS Office,  Linux,  C++,  PL/SQL,  Systems Analysis,  A+ Networks"
National Diploma: Information Technology,"-Android \n-Java EE \n-MySQL /PLSQL \n-XML \n-Servlet \n-JSON \n-Restful Web Services \n-vb   .NET \n-Microsoft Office Tools \n-HTML,  self-motivated.,  social skills,  Team worker/player,  people skills,  Visual basic,  Java 2EE,  Oracle,  Microsoft Visi"
Bachelor of Science  Computer Science 3yrs,"asp,  Javascript,  Html,  Sql Server7,  Ecommerce Expertise,  Payment Gateways,  Dhtml,  Information Technology,  Sql Server 2000"
Developing Web Applications with PHP,"Oracle 11g - Enterprise Edition,  Unix,  C/C++ (Using A Pro C Compiler),  MS SQL SEVER 2008,  Javascript,  HTML,  PHP,  Visual C++,  MS ACCESS 97/2000/2003"
Honours Computer Science,".Net,  Telephone Skills,  Transact Sql,  Visual Studio,  Data Analysis,  Database Administration,  Email,  Microsoft C #,  Microsoft Outlook"
NDIP IT: Technical Applications,"CSS3,  Javascript,  Java EE,  JQUERY,  HTML5,  MySQL,  Java,  Oracle Database Development,  AngularJS"
Information Technology (Software Development),"End User Support Skill,  Programming (Coding)"
C# Advanced,"CSS,  C#,  Javascript,  Html,  JQuery,  MVC,  SQL,  Entity Framework,  Angular"
Bachelor of Science  DEGREE,"C++,  unix,  web designing,  Graphics,  Programming languages like linux,  commercial invoice,  ....,  inbounding and outbounding,  Supply chain and Logistic department"
National Diploma In Electrical Engineering,"Pci Driver Testing Development,  Unattended Installations Design And Testing,  In Control,  Ghost,  Installshield,  Autoit,  Unattended Cd Build Development For Awd,  Xlnt 2.0,  Kixscript"
Information Systems Management,"Windows,  SQL,  Sql Server 2000/2005/2008/2012,  HTML,  C#,  Asp.Net,  Cobol,  Java"
Diploma (It),"Taking Minutes In Meetings,  Computer Skills"
Bachelor of Science . Psychology,"Consulting,  CSI,  Community work,  Corporates,  People management,  NGO/NPO,  Psychology,  Fundraising,  Organisational audits"
MSc Astrophysics,"Team Foundation Server,  SQL Server,  C#,  .NET,  AX 2012,  Visual Studio,  Latex,  Python,  Linux"
Matric,"new business development,  newbusiness development,  up to boardroom level,  Relationship building,  client retention"
Nationa Diploma Information Technology,"ODI,  ETL Development,  datawarehouse,  Visual Basic,  SharePoint Development,  COBOL,  Data warehouse,  Teradata,  Java"
Grade 12/Matric,"3D visulasation,  AutoCad 2D Inventor 3D,  Industrial design,  manufacturing,  Product development,  Good communicator Afrikaans and English"
Advanced Diploma In Computer Programming & E-Comm,"Visual Basic 6.0 (Front End),  Sql Server 2000,  Seagate Crystal Reports 8 And 9,  Front Page"
Software Development,"unit testing,  Java (ASP Facelets EJB JMS SOAP) C++ Markup languages (XML HTML XSD XSLT) UNIX SQL/PL   Programming Logic (Prolog) PHP,  XML,  JAVA,  XML,  HTML,  XSD,  XSLT,  J2EE"
Senior Certificate,miner
Customer Excellence,"Microsoft Office - Word,  Excell,  Powerpoint,  Team Leader,  Adobe Photoshop,  HTML,  Project Manager,  Operating Systems - Windows 3.X/95/98/Xp,  Client Training On Content Management Systems"
Mcp,"asp,  Javascript,  .Net,  MS SQL,  Database Administration,  Microsoft Access,  Microsoft C #,  php,  Mysql"
Computer Systems Engineering,"A+,  Delphi 5 Programming,  Digital Systems 3,  Electronics 1 & 2,  Electrical Engineering 1,  Digital Communications 2,  System Analysis 2,  Networking(N+, 2000 Server"
Bachelor of Marketing Management,"Market research,  Arabic,  training,  international coordination,  English,  public relations,  business coaching,  Microsoft Office,  facilitation"
Bachelor of Science  In Computer Systems,"adaptable,  communication skills,  team player,  microsoft office,  HTML5,  Programming Language  Java,  Programming Language C#,  Programming Language C++,  database sql"
Sun Jcaps,"Java Development,  Eclipse,  XML,  SQL,  Portal Development,  Html Coding,  Design Patterns,  Websphere Application Server,  Client Relations"
Pnc Professional Diploma,"Vb Access,  Visual Basic,  Windows Archtecture,  Sql Server 7.0,  C++,  Visual C++,  Visual Java"
Master Of Science,"GIS,  Oracle,  Tibco,  C#,  M,  Integration,  e-Commerce,  Web Shop,  Project anager"
Master of Science,"Bods,  Hana,  Data migration,  sql,  tablea]"
2310 - Developing Ms Asp.Net Web Applications Usin,"Microsoft Office 2000,  Process Modeling,  .Net Mobile Web Applications,  Smart Device Extentions - .Net,  Borland Delphi 4,  5 And 6,  Wap / Wml Programming,  Asp.Net,  C#"
Technical & Business Writing,"Abap,  Visual Basic 6,  Business Process Analysis"
Masters Of Business Administration (Mba),"strategy,  management consulting,  SMME development,  mentoring,  enterprise development,  analysis,  Project Management"
"Drivers License""","Computer Skill,  Fixing And Building Computers,  Computer Litrate"
Bachelor of Technology: Information Technology,"Knowledge Of Os/Analytical And Problem Solving,  Java Programming,  System Adminstration,  Database Development"
Bachelor of Science hons(Awarded By London Metropolitan University),"Microsoft Office,  Relational Database And Modelling,  Vb.Net Programming,  Advanced Database Management Systems,  Sql Server 2000,  Asp.Net,  Software Engineering Methods And Management,  Managing Business Projects,  Security +"
Matric,"Linux Configuring/Administration/Installing,  Software Troubleshooting/Installation,  Hardware Troubleshooting/Pc Upgrades,  Delphi 7 Development,  Mysql/Postgresql Databases,  Python/Bash Scripting,  Java/Php Development,  Network Installation (Cable Laying Etc),  Windows 95/98/Me/Nt/2k/Xp"
Bit600 Sap Webflow Concepts,"Abap,  Screen & Menu Design,  Reports (Basic And Interactive),  Dialog Programming (Transactions),  User Exits & Enhancements,  Sapscript,  Append Structures And Customising Includes On Sa,  Batch Data Communication,  Advanced Debugging"
Certificate Course In Business & Systems Analysis,"Lotus Script,  Html/Dhtml,  Javascript,  Domino Administration,  Java,  XML,  Hyperion Financial Management,  Hyperion Application Link,  Relavis (Ibm Crm)"
Sap Certification,"Bapis,  Abap,  ABAP,  C++,  Java,  Java Jdbc"
Vip Classic,"PHP,  VBA,  Java Script,  JQuery,  Ruby on Rails,  C#,  Vip Payroll,  Mysql,  Microsoft Word"
Bachelor Of Information Technology,"Frontpage,  Microsoft Office(Word, Powerpoin, Access, Excel),  Adobe Photoshop,  Premiere,  ASP,  Java"
Business Management,"CMS Based web development,  E-Marketing,  Html & CSS"
Diploma In Client Server Programming,"Powerbuilder/Sybase,  C,  Unix,  Cobol,  Dos,  C++ Oracle"
Diploma Business Analysis,
Business Anlysis,"Project Management,  Workflow Process Modeler,  Crystal Report 6.0, 8, 8.5,  Microsoft Access 97, 2000,  Microsoft Project 2000,  Microsoft Sql Server 7.0"
Bachelor of Science  Computer Science + Math,"SAP ABAP / Workflow,  optimization,  BAPI,  DIALOG programming,  workflow,  PPF,  interfaces,  development,  BADI"
Project Management Professional,"SDCL,  Waterfall,  Agile"
Fundamentals Of Project Management,"Project Management,  Event Management,  Outbount & Inbound Incentive Travel/Account Manage"
Togaf,"SSIS,  Microsoft  SQL Server 2005,  Crystal Reports,  Microsoft  SQL Server 2008,  SSRS,  ProClarity \u2022,  E-Reports,  InetSoft (Styles) \u2022,  Microsoft  SQL Server 2014"
Diploma in Computer Sciences,"user experience,  mobile design,  consultancy,  project planning,  e-commerce,  hosting management,  project management,  database integration,  training"
Bachelor of Science,"HTML,  Delphi,  SQL,  C,  Java"
Microsoft Dynamics CRM 2011 Customization and Configuration,"Visual Studio,  Microsoft office,  AS400,  CRM Dynamics,  rpg,  ssrs,  javascript,  html,  C# development"
National Senior Certificate,"Vision,  Chrome,  Torch,  Alpha +,  CasMate Pro,  Citrix,  Vision2.0,  Vision plus,  Corel Draw x17"
Masters of Sciencee And A+,"CA Call logging,  Training,  Troubleshooting,  Hardware Insallation,  Software Installation"
Bachelor of Science. Applied Mathematics and Computer Science,"java,  eclipse,  SQL,  Git,  agile,  XML,  IntelliJ,  Java EE,  EJB"
Ditp2 - Diploma In Information Technology,"Adobe Photoshop,  N+,  A+,  HTML,  CSS,  Adobe Flash,  Adobe Dreamweaver,  Joomla,  Wordpress"
Multimedia Design,"Java Script,  VB,  Java,  Asp.Net,  CSS,  Php,  SAP Netweaver,  SAPUI5,  VB .NET"
Strategic Leadership Development Programme,"Service Level Measurement,  Root Cause Analysis,  Problem Management,  Service Level Management,  Team Management And Leadership,  Strategic Planning/ 3 Year Road Map,  Systems Analysis And Design,  Coach,  Budgets And Finanacial Management"
Bachelor of Science (Hons) Advanced Mathematics Of Finance(Hybrid Computer Science),"Java EE framework,  Matlab,  Java,  Microsoft Office,  Programming,  SQL,  Python,  C++"
Adabas Fundamentals,"Angular2,  .NetCore,  OctopusDeploy,  C#,  Xml/Xslt,  Classic Asp,  Vb.Net,  Technical Release Notes,  Functional Release Notes"
Bachelor of Science Computer Science,"HTML,  Xslt,  CSS,  Javascript,  Microsoft Outlook,  Microsoft Excel,  Microsoft Powerpoint,  Microsoft Word,  Windows Xp"
Oracle Database 11g Data Warehousing Certified Implementation Specialist,"APEX,  PLSQL,  ORACLE,  OBIEE,  Java,  Unix,  Sql Server,  Business Objects,  Ab Nitio"
Information Technology,"Sql Server 97, 2000,  Visual Basic,  OO,  UML,  Com+,  Windows 2000,  Microsoft Office,  Delphi 6"
Mcsd.Net,"Javascript,  C#,  Asp.Net,  HTML,  .Net,  MS SQL Server,  Jquery,  MVC,  Mentoring"
Ocp Internet Application Developer,"Oracle Forms/Reports,  Pl/Sql,  Java,  Unix"
A+,"C++,  MS Software/Operating systems,  Ibm Mq Series,  Networking,  Pc Hardware Skills,  Visual Basic"
Nd:Information Technology,"Microsoft Office Suite,  Microsoft Visual Studio 2003,  Micsroft Visual Studio 2005,  Sql,  Scripting And Stored Procedures,  Microsoft Sql Server 2000/2005,  Vb.Net,  Ajax,  Asp.Net 1.0/1.1"
Bachelor in Technology:  Computer Systems Engineering,"team leader,  communication,  organizing,  T-SQL,  BI,  SSIS,  SSRS,  UML,  SQL"
Bachelor of Commerce Business Management,"Microsoft Word,  Microsoft Excel,  HTML,  Java Script,  Vb Script,  Microsoft Access,  Microsoft Powerpoint,  Asp.Net,  C# Programming"
Masters In Research,"Csi Management,  Microsoft,  Email,  Microsoft Excel"
Computer Engineering,"Microsoft Windows Server Nt / 2000 / 2003 / 2008,  Microsoft Windows Client 95 / 98 / Me / Xp / Vista,  Microsoft Internet Information Server 3 / 4 / 5 /,  Microsoft Active Directory,  High Availability Clustering & Load Balancing,  Microsoft Sql Server 2005 (Rdb,  Ssas,  Ssis,  Ssrs)"
Multimedia Design,Multimedia
Honours Degree In Computer Science,"Microsoft Excel,  Sas Enterprise Edition,  Triad V5,  V8 \u2013 Triad,  MS Visio,  MS Project,  Teradata Sql,  Sql Server 2000"
Mcpd,"Java,  WPF,  Windows Forms,  XML,  Html,  CSS,  Javascript,  Visual C#"
Bachelor of Science .Computer Science And Statistics,"Full Stack Development,  Development management,  PHP,  Problem Solving,  Ruby,  AWS,  Communication And Interpersonal Skills,  Jenkins,  Nginx"
Bachelor of Science. Information Technology,"Programming In C++,  Vb,  Java,  Php,  Ml,  Asp.,  Web Development In Asp,  Php,  Perl"
Senior Paralegal,"Administrative Skills,  Legal,  management,  Legal/ Project Management Software,  Project Administration,  Sales"
ITIL Foundation,"Stakeholder Management,  Project Management,  Matrix Team Management,  Vendor & Supplier Management,  Risks Assumptions Issues and Dependencies (RAID / RIDA),  Solutions Implementation,  3rd Party Management,  Requirements Management,  AGILE"
Ibm Certified Advanced System Administrator,"Lotus Notes (Admin,  Development,  Client),  Microsoft Windows 2000/Xp,  Solidus,  Rightfax,  Pabx Management"
Senior Certificate,"Oracle Forms 6i,  Oracle Reports 6i,  Oracle Sql Plus,  Microfocus Cobol"
Bachelor Of Science Information Technology,".net developer,  C# Developer,  SQL And C#,  C#,  C++,  Turbo Pascal,  Borland Delphi,  SQL"
Bachelor Of Business And Commerce Degree In Informatics,"Database and tools : Photoshop,  MS Office,  MS Access,  MS SQL,  Internet Proficiency,  Operating Systems: Windows 2000/Xp/Vista /Windows 7,  Database Sql,  C/C++, Vb6"
Bachelor of Commerce Marketing Management (General Business Major),"General Administration,  In-Depth Research And High-Level Reporting"",  Direct Selling,  Investment And Retirement Profiling,  Sales & Marketing,  Business Consulting,  Income Tax Consultancy,  Forensic Auditing,  Microsoft Aplications (Word"
Bachelor of Science  - Information Technology,"Visual Basic 6,  SQL/MS SQL Server"
M.S. Computer Science,"C + +,  Microsoft Excel,  Crystal Reports,  mis,  Business Objects,  Datawarehousing,  Data Collection,  gis,  Data Mining"
Nd It,"Functional Spec Sheet,  Technical Spec Sheet,  Php, Html, Sql, Unix, Proc, Javacript,  Business Admin"
Information Technology Diploma,"Ms Sql Server 2000 And Ms Sql Server 2005,  Xml Webservice,  Asp.Net,  Vb.Net,  MS T-SQL,  Faxcore,  Crystal Reports,  C# Visual Studio 2005,  MS Visual Basic 6"
National Diploma,"ABAP HR Development,  ABAP (Core) Development"
E-Design,"illustrator,  FIREWORKS,  FLASH,  Javascript,  BOOTSTRAP,  WORDPRESS,  DREAMWEAVER,  Jquery,  PHOTOSHOP"
Cobol Diploma,"Rpg / Ile As400,  As400 Qry,  Operating System,  HTML,  Progress 4gl,  Business Objects,  Sql Server 2000,  Javascript,  Cascading Style Sheets"
Bachelor of Technology Degree In Information Technology,"VBachelor of Science ripts,  Javascripts,  Ajax,  Html,  MS Word, Excel, Powerpoint, Access,  Smallworld Pni"
Bachelor Computer Science,"ide,  Java,  Eclipse,  Html,  Java Server Pages,  Oracle Version 8,  C + +,  Enterprise Java Beans,  Javabeans"
Mit - Masters Information Technology,"Programming,  Various Languages,  Oracle Sql, Etc,  Businness Analysis,  Data Modelling,  Project Management"
Certificate In Visual Basic Programming,"Visual Interdev,  Html + CSS,  Javascript,  Microsoft Asp,  VBachelor of Science ript,  Visual Basic,  Microsoft Sql Server,  Activex,  Delphi"
Bed Honours,"Leadership Training,  Materials Management And Development,  Presentation Skills,  Training And Facilitation,  Work Ethic,  Porganization Skills,  Report Writing,  Manager,  Time Management"
